city,state_abbr,state,county,metro,lat,lng,building_count,city_description,updated_at,gsc_clicks,gsc_impressions,source_url
Fallon,NV,Nevada,,,,,,,,301,2371,https://m.rofo.com/NV/Fallon
Morristown,TN,Tennessee,,,,,,,,300,6124,https://m.rofo.com/TN/Morristown
Seymour,IN,Indiana,,,,,,,,283,3059,https://m.rofo.com/IN/Seymour
Johnson City,TN,Tennessee,,,,,,,,256,13593,https://m.rofo.com/TN/Johnson-City
Washington,NC,North Carolina,,,,,,,,249,5882,https://m.rofo.com/NC/Washington
Cabot,AR,Arkansas,,,,,,,,242,3533,https://m.rofo.com/AR/Cabot
Bardstown,KY,Kentucky,,,,,,,,236,2434,https://m.rofo.com/KY/Bardstown
Santa Fe,NM,New Mexico,,,,,,,,235,12436,https://m.rofo.com/NM/Santa-Fe
Bossier City,LA,Louisiana,,,,,,,,227,11692,https://m.rofo.com/LA/Bossier-City
Crossville,TN,Tennessee,,,,,,,,223,3341,https://m.rofo.com/TN/Crossville
Sevierville,TN,Tennessee,,,,,,,,222,6231,https://m.rofo.com/TN/Sevierville
Kingsport,TN,Tennessee,,,,,,,,217,8057,https://m.rofo.com/TN/Kingsport
Greeneville,TN,Tennessee,,,,,,,,217,3842,https://m.rofo.com/TN/Greeneville
Gatlinburg,TN,Tennessee,,,,,,,,216,4176,https://m.rofo.com/TN/Gatlinburg
Dallas,OR,Oregon,,,,,,,,214,3109,https://m.rofo.com/OR/Dallas
Grand Haven,MI,Michigan,,,,,,,,213,3478,https://m.rofo.com/MI/Grand-Haven
Dayton,TN,Tennessee,,,,,,,,210,8419,https://m.rofo.com/TN/Dayton
Newport,RI,Rhode Island,,,,,,,,204,13655,https://m.rofo.com/RI/Newport
Waterville,ME,Maine,,,,,,,,204,3714,https://m.rofo.com/ME/Waterville
Elizabethtown,KY,Kentucky,,,,,,,,203,7739,https://m.rofo.com/KY/Elizabethtown
Bluffton,SC,South Carolina,,,,,,,,202,12383,https://m.rofo.com/SC/Bluffton
West Monroe,LA,Louisiana,,,,,,,,198,5318,https://m.rofo.com/LA/West-Monroe
Cleveland,TN,Tennessee,,,,,,,,197,8717,https://m.rofo.com/TN/Cleveland
Farmington,NM,New Mexico,,,,,,,,193,4891,https://m.rofo.com/NM/Farmington
Ruidoso,NM,New Mexico,,,,,,,,192,1633,https://m.rofo.com/NM/Ruidoso
Silver City,NM,New Mexico,,,,,,,,190,1777,https://m.rofo.com/NM/Silver-City
Foley,AL,Alabama,,,,,,,,186,7722,https://m.rofo.com/AL/Foley
Laurel,MS,Mississippi,,,,,,,,183,5275,https://m.rofo.com/MS/Laurel
Maryville,TN,Tennessee,,,,,,,,182,4881,https://m.rofo.com/TN/Maryville
Salem,NH,New Hampshire,,,,,,,,180,12214,https://m.rofo.com/NH/Salem
Alexandria,LA,Louisiana,,,,,,,,179,11133,https://m.rofo.com/LA/Alexandria
Southport,NC,North Carolina,,,,,,,,179,4973,https://m.rofo.com/NC/Southport
Pigeon Forge,TN,Tennessee,,,,,,,,179,3689,https://m.rofo.com/TN/Pigeon-Forge
New Albany,IN,Indiana,,,,,,,,176,5815,https://m.rofo.com/IN/New-Albany
Denham Springs,LA,Louisiana,,,,,,,,176,3673,https://m.rofo.com/LA/Denham-Springs
Cookeville,TN,Tennessee,,,,,,,,173,4284,https://m.rofo.com/TN/Cookeville
Fairhope,AL,Alabama,,,,,,,,172,6729,https://m.rofo.com/AL/Fairhope
Sparta,TN,Tennessee,,,,,,,,171,1892,https://m.rofo.com/TN/Sparta
Gulf Shores,AL,Alabama,,,,,,,,169,8955,https://m.rofo.com/AL/Gulf-Shores
Hammond,LA,Louisiana,,,,,,,,168,6485,https://m.rofo.com/LA/Hammond
Kenner,LA,Louisiana,,,,,,,,167,4943,https://m.rofo.com/LA/Kenner
Dalton,GA,Georgia,,,,,,,,166,5069,https://m.rofo.com/GA/Dalton
Henderson,KY,Kentucky,,,,,,,,165,8579,https://m.rofo.com/KY/Henderson
Lenoir City,TN,Tennessee,,,,,,,,164,3114,https://m.rofo.com/TN/Lenoir-City
Ruston,LA,Louisiana,,,,,,,,164,2627,https://m.rofo.com/LA/Ruston
Athens,TN,Tennessee,,,,,,,,163,6122,https://m.rofo.com/TN/Athens
Batesville,AR,Arkansas,,,,,,,,159,1371,https://m.rofo.com/AR/Batesville
Slidell,LA,Louisiana,,,,,,,,158,5214,https://m.rofo.com/LA/Slidell
Crawfordsville,IN,Indiana,,,,,,,,156,2278,https://m.rofo.com/IN/Crawfordsville
Mount Washington,KY,Kentucky,,,,,,,,155,3686,https://m.rofo.com/KY/Mount-Washington
Amite,LA,Louisiana,,,,,,,,155,1670,https://m.rofo.com/LA/Amite
Columbia,MS,Mississippi,,,,,,,,154,6712,https://m.rofo.com/MS/Columbia
Leland,NC,North Carolina,,,,,,,,154,5065,https://m.rofo.com/NC/Leland
Ringgold,GA,Georgia,,,,,,,,154,4124,https://m.rofo.com/GA/Ringgold
Milton,FL,Florida,,,,,,,,152,6657,https://m.rofo.com/FL/Milton
Madison,IN,Indiana,,,,,,,,151,8612,https://m.rofo.com/IN/Madison
Hattiesburg,MS,Mississippi,,,,,,,,151,8284,https://m.rofo.com/MS/Hattiesburg
Conway,SC,South Carolina,,,,,,,,151,4663,https://m.rofo.com/SC/Conway
Dunlap,TN,Tennessee,,,,,,,,150,4407,https://m.rofo.com/TN/Dunlap
Wiggins,MS,Mississippi,,,,,,,,150,3393,https://m.rofo.com/MS/Wiggins
Natchez,MS,Mississippi,,,,,,,,148,1745,https://m.rofo.com/MS/Natchez
Marshall,TX,Texas,,,,,,,,147,3115,https://m.rofo.com/TX/Marshall
Meredith,NH,New Hampshire,,,,,,,,146,2001,https://m.rofo.com/NH/Meredith
Hazard,KY,Kentucky,,,,,,,,144,1442,https://m.rofo.com/KY/Hazard
Burgaw,NC,North Carolina,,,,,,,,143,1966,https://m.rofo.com/NC/Burgaw
Princeton,WV,West Virginia,,,,,,,,142,1140,https://m.rofo.com/WV/Princeton
Orange Beach,AL,Alabama,,,,,,,,141,9028,https://m.rofo.com/AL/Orange-Beach
Bolivar,MO,Missouri,,,,,,,,141,1658,https://m.rofo.com/MO/Bolivar
Brunswick,ME,Maine,,,,,,,,138,6519,https://m.rofo.com/ME/Brunswick
London,KY,Kentucky,,,,,,,,138,3030,https://m.rofo.com/KY/London
Opelousas,LA,Louisiana,,,,,,,,138,1802,https://m.rofo.com/LA/Opelousas
Lafayette,LA,Louisiana,,,,,,,,136,8957,https://m.rofo.com/LA/Lafayette
Myrtle Beach,SC,South Carolina,,,,,,,,136,7814,https://m.rofo.com/SC/Myrtle-Beach
Conway,AR,Arkansas,,,,,,,,136,5626,https://m.rofo.com/AR/Conway
Paris,KY,Kentucky,,,,,,,,136,2529,https://m.rofo.com/KY/Paris
Chalmette,LA,Louisiana,,,,,,,,135,2137,https://m.rofo.com/LA/Chalmette
Seymour,TN,Tennessee,,,,,,,,134,2009,https://m.rofo.com/TN/Seymour
Hopkinsville,KY,Kentucky,,,,,,,,133,2472,https://m.rofo.com/KY/Hopkinsville
Erwin,TN,Tennessee,,,,,,,,133,1631,https://m.rofo.com/TN/Erwin
Dickinson,ND,North Dakota,,,,,,,,132,3096,https://m.rofo.com/ND/Dickinson
Derry,NH,New Hampshire,,,,,,,,131,3804,https://m.rofo.com/NH/Derry
Rock Hill,SC,South Carolina,,,,,,,,130,12988,https://m.rofo.com/SC/Rock-Hill
Sanford,ME,Maine,,,,,,,,130,3655,https://m.rofo.com/ME/Sanford
Lewiston,ME,Maine,,,,,,,,130,3208,https://m.rofo.com/ME/Lewiston
Marshfield,MO,Missouri,,,,,,,,130,1086,https://m.rofo.com/MO/Marshfield
Blue Ridge,GA,Georgia,,,,,,,,129,2145,https://m.rofo.com/GA/Blue-Ridge
Sweetwater,TN,Tennessee,,,,,,,,129,1478,https://m.rofo.com/TN/Sweetwater
New London,NH,New Hampshire,,,,,,,,126,1896,https://m.rofo.com/NH/New-London
Marrero,LA,Louisiana,,,,,,,,125,2592,https://m.rofo.com/LA/Marrero
Jeffersonville,IN,Indiana,,,,,,,,124,4609,https://m.rofo.com/IN/Jeffersonville
Destin,FL,Florida,,,,,,,,124,3946,https://m.rofo.com/FL/Destin
Muncie,IN,Indiana,,,,,,,,123,5729,https://m.rofo.com/IN/Muncie
Zephyrhills,FL,Florida,,,,,,,,123,4145,https://m.rofo.com/FL/Zephyrhills
Berlin,MD,Maryland,,,,,,,,122,4558,https://m.rofo.com/MD/Berlin
Monroe,NC,North Carolina,,,,,,,,122,3369,https://m.rofo.com/NC/Monroe
Sulphur,LA,Louisiana,,,,,,,,122,2529,https://m.rofo.com/LA/Sulphur
Nashville,IN,Indiana,,,,,,,,122,1859,https://m.rofo.com/IN/Nashville
Greenwood,MS,Mississippi,,,,,,,,122,1342,https://m.rofo.com/MS/Greenwood
Richmond,IN,Indiana,,,,,,,,121,6312,https://m.rofo.com/IN/Richmond
Monroe,LA,Louisiana,,,,,,,,120,4484,https://m.rofo.com/LA/Monroe
Bristol,RI,Rhode Island,,,,,,,,120,4060,https://m.rofo.com/RI/Bristol
Franklin,NH,New Hampshire,,,,,,,,120,3398,https://m.rofo.com/NH/Franklin
Taylorsville,KY,Kentucky,,,,,,,,119,1635,https://m.rofo.com/KY/Taylorsville
North Port,FL,Florida,,,,,,,,118,8976,https://m.rofo.com/FL/North-Port
Los Lunas,NM,New Mexico,,,,,,,,118,2326,https://m.rofo.com/NM/Los-Lunas
Newburgh,IN,Indiana,,,,,,,,117,2789,https://m.rofo.com/IN/Newburgh
Gretna,LA,Louisiana,,,,,,,,117,2458,https://m.rofo.com/LA/Gretna
Columbus,MS,Mississippi,,,,,,,,116,7112,https://m.rofo.com/MS/Columbus
Port Charlotte,FL,Florida,,,,,,,,115,8477,https://m.rofo.com/FL/Port-Charlotte
Cumberland,MD,Maryland,,,,,,,,115,3698,https://m.rofo.com/MD/Cumberland
King,NC,North Carolina,,,,,,,,115,3301,https://m.rofo.com/NC/King
New Iberia,LA,Louisiana,,,,,,,,115,3135,https://m.rofo.com/LA/New-Iberia
Natchitoches,LA,Louisiana,,,,,,,,115,1376,https://m.rofo.com/LA/Natchitoches
Plymouth,NH,New Hampshire,,,,,,,,114,3263,https://m.rofo.com/NH/Plymouth
Vicksburg,MS,Mississippi,,,,,,,,114,2779,https://m.rofo.com/MS/Vicksburg
Youngsville,LA,Louisiana,,,,,,,,114,1845,https://m.rofo.com/LA/Youngsville
Somerset,KY,Kentucky,,,,,,,,113,3749,https://m.rofo.com/KY/Somerset
Kingston,TN,Tennessee,,,,,,,,113,1976,https://m.rofo.com/TN/Kingston
Calabash,NC,North Carolina,,,,,,,,113,1202,https://m.rofo.com/NC/Calabash
Madisonville,KY,Kentucky,,,,,,,,112,1916,https://m.rofo.com/KY/Madisonville
New Bern,NC,North Carolina,,,,,,,,110,3760,https://m.rofo.com/NC/New-Bern
Wolfeboro,NH,New Hampshire,,,,,,,,110,935,https://m.rofo.com/NH/Wolfeboro
Knoxville,TN,Tennessee,,,,,,,,109,14676,https://m.rofo.com/TN/Knoxville
Fenton,MI,Michigan,,,,,,,,109,4747,https://m.rofo.com/MI/Fenton
Navarre,FL,Florida,,,,,,,,109,3122,https://m.rofo.com/FL/Navarre
Wells,ME,Maine,,,,,,,,109,2273,https://m.rofo.com/ME/Wells
Rayville,LA,Louisiana,,,,,,,,109,798,https://m.rofo.com/LA/Rayville
Orland,CA,California,,,,,,,,109,713,https://m.rofo.com/CA/Orland
Rio Rancho,NM,New Mexico,,,,,,,,108,6546,https://m.rofo.com/NM/Rio-Rancho
Espanola,NM,New Mexico,,,,,,,,108,1558,https://m.rofo.com/NM/Espanola
Windham,NH,New Hampshire,,,,,,,,107,2618,https://m.rofo.com/NH/Windham
Warwick,RI,Rhode Island,,,,,,,,106,8719,https://m.rofo.com/RI/Warwick
Anderson,IN,Indiana,,,,,,,,106,5852,https://m.rofo.com/IN/Anderson
Pendleton,OR,Oregon,,,,,,,,106,2395,https://m.rofo.com/OR/Pendleton
Atmore,AL,Alabama,,,,,,,,106,1631,https://m.rofo.com/AL/Atmore
Hutchinson,MN,Minnesota,,,,,,,,106,1159,https://m.rofo.com/MN/Hutchinson
Rexburg,ID,Idaho,,,,,,,,105,3623,https://m.rofo.com/ID/Rexburg
Canton,TX,Texas,,,,,,,,105,1861,https://m.rofo.com/TX/Canton
Taos,NM,New Mexico,,,,,,,,105,1837,https://m.rofo.com/NM/Taos
Gallup,NM,New Mexico,,,,,,,,105,1170,https://m.rofo.com/NM/Gallup
Houma,LA,Louisiana,,,,,,,,104,3049,https://m.rofo.com/LA/Houma
Joshua Tree,CA,California,,,,,,,,104,1744,https://m.rofo.com/CA/Joshua-Tree
Columbus,IN,Indiana,,,,,,,,103,8247,https://m.rofo.com/IN/Columbus
Claremore,OK,Oklahoma,,,,,,,,103,1687,https://m.rofo.com/OK/Claremore
Las Vegas,NM,New Mexico,,,,,,,,101,3852,https://m.rofo.com/NM/Las-Vegas
Beckley,WV,West Virginia,,,,,,,,101,3131,https://m.rofo.com/WV/Beckley
Tremonton,UT,Utah,,,,,,,,101,1106,https://m.rofo.com/UT/Tremonton
Carolina Beach,NC,North Carolina,,,,,,,,100,2244,https://m.rofo.com/NC/Carolina-Beach
Shallotte,NC,North Carolina,,,,,,,,100,1674,https://m.rofo.com/NC/Shallotte
Madisonville,TN,Tennessee,,,,,,,,100,1239,https://m.rofo.com/TN/Madisonville
Lawrenceburg,KY,Kentucky,,,,,,,,99,2183,https://m.rofo.com/KY/Lawrenceburg
Apollo Beach,FL,Florida,,,,,,,,99,1888,https://m.rofo.com/FL/Apollo-Beach
Petal,MS,Mississippi,,,,,,,,99,1749,https://m.rofo.com/MS/Petal
Homestead,FL,Florida,,,,,,,,98,5903,https://m.rofo.com/FL/Homestead
Rockford,MI,Michigan,,,,,,,,98,2980,https://m.rofo.com/MI/Rockford
Adrian,MI,Michigan,,,,,,,,98,1678,https://m.rofo.com/MI/Adrian
Leitchfield,KY,Kentucky,,,,,,,,98,975,https://m.rofo.com/KY/Leitchfield
Fort Walton Beach,FL,Florida,,,,,,,,97,4372,https://m.rofo.com/FL/Fort-Walton-Beach
Ocean Springs,MS,Mississippi,,,,,,,,97,2851,https://m.rofo.com/MS/Ocean-Springs
Saco,ME,Maine,,,,,,,,97,2801,https://m.rofo.com/ME/Saco
Forest City,NC,North Carolina,,,,,,,,97,2088,https://m.rofo.com/NC/Forest-City
Jesup,GA,Georgia,,,,,,,,97,1265,https://m.rofo.com/GA/Jesup
Concord,NH,New Hampshire,,,,,,,,96,13100,https://m.rofo.com/NH/Concord
Lake Charles,LA,Louisiana,,,,,,,,96,7854,https://m.rofo.com/LA/Lake-Charles
Soddy Daisy,TN,Tennessee,,,,,,,,96,5003,https://m.rofo.com/TN/Soddy-Daisy
Jasper,TN,Tennessee,,,,,,,,96,4181,https://m.rofo.com/TN/Jasper
Hendersonville,NC,North Carolina,,,,,,,,96,2594,https://m.rofo.com/NC/Hendersonville
Radcliff,KY,Kentucky,,,,,,,,96,1950,https://m.rofo.com/KY/Radcliff
Walterboro,SC,South Carolina,,,,,,,,96,1938,https://m.rofo.com/SC/Walterboro
Elizabethton,TN,Tennessee,,,,,,,,95,1961,https://m.rofo.com/TN/Elizabethton
Byram,MS,Mississippi,,,,,,,,95,1886,https://m.rofo.com/MS/Byram
Hampton,NH,New Hampshire,,,,,,,,94,6108,https://m.rofo.com/NH/Hampton
York,ME,Maine,,,,,,,,94,2992,https://m.rofo.com/ME/York
Murrells Inlet,SC,South Carolina,,,,,,,,94,2832,https://m.rofo.com/SC/Murrells-Inlet
Davison,MI,Michigan,,,,,,,,94,1683,https://m.rofo.com/MI/Davison
Goffstown,NH,New Hampshire,,,,,,,,94,1561,https://m.rofo.com/NH/Goffstown
Palmetto,FL,Florida,,,,,,,,91,2834,https://m.rofo.com/FL/Palmetto
Oak Island,NC,North Carolina,,,,,,,,91,1239,https://m.rofo.com/NC/Oak-Island
Cairo,GA,Georgia,,,,,,,,91,1105,https://m.rofo.com/GA/Cairo
Lebanon,NH,New Hampshire,,,,,,,,90,2459,https://m.rofo.com/NH/Lebanon
Clovis,NM,New Mexico,,,,,,,,89,5786,https://m.rofo.com/NM/Clovis
Holland,MI,Michigan,,,,,,,,89,3598,https://m.rofo.com/MI/Holland
Clinton,TN,Tennessee,,,,,,,,89,2104,https://m.rofo.com/TN/Clinton
Jonesborough,TN,Tennessee,,,,,,,,89,1640,https://m.rofo.com/TN/Jonesborough
Thibodaux,LA,Louisiana,,,,,,,,89,1639,https://m.rofo.com/LA/Thibodaux
Pueblo,CO,Colorado,,,,,,,,88,5686,https://m.rofo.com/CO/Pueblo
Bay City,MI,Michigan,,,,,,,,87,3884,https://m.rofo.com/MI/Bay-City
Englewood,FL,Florida,,,,,,,,87,3777,https://m.rofo.com/FL/Englewood
Winchester,KY,Kentucky,,,,,,,,87,2599,https://m.rofo.com/KY/Winchester
Orange Park,FL,Florida,,,,,,,,86,6157,https://m.rofo.com/FL/Orange-Park
Bristol,TN,Tennessee,,,,,,,,86,4280,https://m.rofo.com/TN/Bristol
Ada,MI,Michigan,,,,,,,,86,4185,https://m.rofo.com/MI/Ada
