Duplicate and hierarchy review

Multiple IDs, suites, campuses, and duplicate marketing entities do not auto-promote.

| Market | Property | Municipality | Risks | Legacy IDs |
|---|---|---|---|---|
| seattle-kent-eastside | king county tax parcel 4055700515 | Kirkland | MULTIPLE_LEGACY_IDS | 61 |
| seattle-kent-eastside | 12345 | Bellevue | MULTIPLE_LEGACY_IDS | 51 |
| seattle-kent-eastside | ballard | Seattle | MULTIPLE_LEGACY_IDS | 43 |
| seattle-kent-eastside | 1251 lake ave | Seattle | MULTIPLE_LEGACY_IDS | 40 |
| seattle-kent-eastside | 19500 ballinger way ne | Seattle | MULTIPLE_LEGACY_IDS, SUITE_BUILDING_AMBIGUITY | 26 |
| seattle-kent-eastside | 13607 wodinville redmond rd ne | Redmond | MULTIPLE_LEGACY_IDS | 25 |
| seattle-kent-eastside | 1530 140th ave ne | Bellevue | MULTIPLE_LEGACY_IDS | 24 |
| seattle-kent-eastside | 5001 208th st sw | Lynnwood | MULTIPLE_LEGACY_IDS | 22 |
| seattle-kent-eastside | 20109 aurora ave n | Seattle | MULTIPLE_LEGACY_IDS | 20 |
| seattle-kent-eastside | 6520 212th st sw | Lynnwood | MULTIPLE_LEGACY_IDS | 16 |
| seattle-kent-eastside | 1601 1611 2nd ave | Seattle | MULTIPLE_LEGACY_IDS | 11 |
| seattle-kent-eastside | 2018 156th ave ne building f | Bellevue | MULTIPLE_LEGACY_IDS | 10 |
| seattle-kent-eastside | 23636 104th ave se | Kent | MULTIPLE_LEGACY_IDS | 10 |
| seattle-kent-eastside | 5400 carillon point building 5000 | Kirkland | MULTIPLE_LEGACY_IDS | 10 |
| seattle-kent-eastside | 1201 second ave | Seattle | MULTIPLE_LEGACY_IDS, SUITE_BUILDING_AMBIGUITY | 10 |
| seattle-kent-eastside | 1420 fifth ave | Seattle | MULTIPLE_LEGACY_IDS | 10 |
| seattle-kent-eastside | 4201 6th ave s | Seattle | MULTIPLE_LEGACY_IDS | 10 |
| seattle-kent-eastside | 506 second ave | Seattle | MULTIPLE_LEGACY_IDS | 10 |
| seattle-kent-eastside | 701 fifth ave | Seattle | MULTIPLE_LEGACY_IDS | 10 |
| seattle-kent-eastside | skyline tower 10900 n e 4th st | Bellevue | MULTIPLE_LEGACY_IDS | 9 |
| seattle-kent-eastside | 6869 woodlawn ave ne | Seattle | MULTIPLE_LEGACY_IDS | 8 |
| seattle-kent-eastside | 753 n 35th st | Seattle | MULTIPLE_LEGACY_IDS | 8 |
| seattle-kent-eastside | 7030 7048 s 188th st | Kent | MULTIPLE_LEGACY_IDS | 7 |
| seattle-kent-eastside | 22027 68th ave s | Kent | MULTIPLE_LEGACY_IDS | 6 |
| seattle-kent-eastside | 22135 68th ave s | Kent | MULTIPLE_LEGACY_IDS | 6 |
| seattle-kent-eastside | 11624 se 5th st | Bellevue | MULTIPLE_LEGACY_IDS | 5 |
| seattle-kent-eastside | 2625 northup way | Bellevue | MULTIPLE_LEGACY_IDS | 5 |
| seattle-kent-eastside | 11715 n creek pkwy | Bothell | MULTIPLE_LEGACY_IDS | 5 |
| seattle-kent-eastside | 1568 highlands dr ne | Issaquah | MULTIPLE_LEGACY_IDS | 5 |
| seattle-kent-eastside | 355 nw gilman blvd | Issaquah | MULTIPLE_LEGACY_IDS | 5 |
| seattle-kent-eastside | 25012 104th ave se | Kent | MULTIPLE_LEGACY_IDS | 5 |
| seattle-kent-eastside | 26015 26301 104th ave se | Kent | MULTIPLE_LEGACY_IDS | 5 |
| seattle-kent-eastside | 12409 ne 124th st | Kirkland | MULTIPLE_LEGACY_IDS | 5 |
| seattle-kent-eastside | 15365 ne 90th st | Redmond | MULTIPLE_LEGACY_IDS | 5 |
| seattle-kent-eastside | 16710 ne 79th st | Redmond | MULTIPLE_LEGACY_IDS | 5 |
| seattle-kent-eastside | 8410 154th ave ne | Redmond | MULTIPLE_LEGACY_IDS | 5 |
| seattle-kent-eastside | 1501 melrose ave | Seattle | MULTIPLE_LEGACY_IDS | 5 |
| seattle-kent-eastside | 17171 17191 bothell way ne | Seattle | MULTIPLE_LEGACY_IDS | 5 |
| seattle-kent-eastside | 18613 international blvd | Seattle | MULTIPLE_LEGACY_IDS | 5 |
| seattle-kent-eastside | 6407 12th ave ne | Seattle | MULTIPLE_LEGACY_IDS | 5 |
| san-jose-south-bay | 472 484 hamilton ave | Campbell | MULTIPLE_LEGACY_IDS | 79 |
| san-jose-south-bay | 4040 4152 monterey rd | San Jose | MULTIPLE_LEGACY_IDS | 68 |
| san-jose-south-bay | the block tasman dr and great america pkwy | Santa Clara | MULTIPLE_LEGACY_IDS | 66 |
| san-jose-south-bay | 41 main st | Los Gatos | MULTIPLE_LEGACY_IDS | 45 |
| san-jose-south-bay | 425 n whisman rd | Mountain View | MULTIPLE_LEGACY_IDS, SUITE_BUILDING_AMBIGUITY | 44 |
| san-jose-south-bay | 1016 1018 s almaden blvd | San Jose | MULTIPLE_LEGACY_IDS | 42 |
| san-jose-south-bay | 10525 10555 s de anza blvd | Cupertino | MULTIPLE_LEGACY_IDS | 36 |
| san-jose-south-bay | 1228 camden ave | San Jose | MULTIPLE_LEGACY_IDS | 26 |
| san-jose-south-bay | 125 n jackson ave | San Jose | MULTIPLE_LEGACY_IDS, SUITE_BUILDING_AMBIGUITY | 25 |
| san-jose-south-bay | 2235 2239 old middlefield way | Mountain View | MULTIPLE_LEGACY_IDS | 24 |
| san-jose-south-bay | 3303 3305 hillview ave | Palo Alto | MULTIPLE_LEGACY_IDS | 24 |
| san-jose-south-bay | 3075 3087 n first st | San Jose | MULTIPLE_LEGACY_IDS | 24 |
| san-jose-south-bay | 1278 1280 reamwood ave | Sunnyvale | MULTIPLE_LEGACY_IDS | 24 |
| san-jose-south-bay | 730 750 e capitol ave | Milpitas | MULTIPLE_LEGACY_IDS | 23 |
| san-jose-south-bay | 2055 gateway pl | San Jose | MULTIPLE_LEGACY_IDS | 23 |
| san-jose-south-bay | 501 earthquake way | San Jose | MULTIPLE_LEGACY_IDS | 23 |
| san-jose-south-bay | 4 tait ave | Los Gatos | MULTIPLE_LEGACY_IDS | 22 |
| san-jose-south-bay | 75 church st | Los Gatos | MULTIPLE_LEGACY_IDS | 22 |
| san-jose-south-bay | 359 w el camino real | Mountain View | MULTIPLE_LEGACY_IDS | 22 |
| san-jose-south-bay | 2431 park blvd | Palo Alto | MULTIPLE_LEGACY_IDS | 22 |
| san-jose-south-bay | 4131 el camino way | Palo Alto | MULTIPLE_LEGACY_IDS | 22 |
