Missing commercial-geography candidates

Repeated names are discovery signals only and never create geography.

| Market | Municipality | Name | Identities | Signal |
|---|---|---|---|---|
| east-bay | fremont | clipper court commerce center | 60 | STRONG_DISCOVERY_SIGNAL |
| east-bay | hayward | barrington business park | 21 | STRONG_DISCOVERY_SIGNAL |
| east-bay | union-city | alvarado business park | 14 | STRONG_DISCOVERY_SIGNAL |
| san-jose-south-bay | santa-clara | marriott business park | 14 | STRONG_DISCOVERY_SIGNAL |
| san-jose-south-bay | san-jose | montague oaks business park | 12 | STRONG_DISCOVERY_SIGNAL |
| east-bay | hayward | hayward business park | 10 | STRONG_DISCOVERY_SIGNAL |
| east-bay | san-leandro | san leandro business park | 10 | STRONG_DISCOVERY_SIGNAL |
| san-jose-south-bay | san-jose | riversedge business park | 10 | STRONG_DISCOVERY_SIGNAL |
| east-bay | hayward | hayward industrial park | 9 | STRONG_DISCOVERY_SIGNAL |
| san-jose-south-bay | milpitas | milpitas business park | 9 | STRONG_DISCOVERY_SIGNAL |
| san-jose-south-bay | sunnyvale | sunnyvale business park | 9 | STRONG_DISCOVERY_SIGNAL |
| detroit-novi | dearborn | fairlane commerce park north | 8 | STRONG_DISCOVERY_SIGNAL |
| east-bay | walnut-creek | quail court office park | 8 | STRONG_DISCOVERY_SIGNAL |
| san-jose-south-bay | milpitas | ames business park | 8 | STRONG_DISCOVERY_SIGNAL |
| san-jose-south-bay | santa-clara | central lawrence business park | 8 | STRONG_DISCOVERY_SIGNAL |
| san-jose-south-bay | milpitas | fleming business park | 8 | STRONG_DISCOVERY_SIGNAL |
| san-jose-south-bay | san-jose | koll circle business park | 8 | STRONG_DISCOVERY_SIGNAL |
| east-bay | fremont | fremont industrial commerce center | 7 | STRONG_DISCOVERY_SIGNAL |
| east-bay | fremont | scott creek business park | 7 | STRONG_DISCOVERY_SIGNAL |
| los-angeles-independent-cities | santa-fe-springs | legacy heritage corporate center | 7 | STRONG_DISCOVERY_SIGNAL |
| san-jose-south-bay | san-jose | orchard business park | 7 | STRONG_DISCOVERY_SIGNAL |
| san-jose-south-bay | santa-clara | san tomas commerce park | 7 | STRONG_DISCOVERY_SIGNAL |
| detroit-novi | troy | marquee troy corporate center | 6 | STRONG_DISCOVERY_SIGNAL |
| detroit-novi | troy | troy industrial park | 6 | STRONG_DISCOVERY_SIGNAL |
| east-bay | hayward | hesperian industrial park | 6 | STRONG_DISCOVERY_SIGNAL |
| east-bay | hayward | industrial blvd business center | 6 | STRONG_DISCOVERY_SIGNAL |
| east-bay | fremont | mission business park | 6 | STRONG_DISCOVERY_SIGNAL |
| east-bay | san-leandro | northpoint business park | 6 | STRONG_DISCOVERY_SIGNAL |
| east-bay | richmond | pinole point business park | 6 | STRONG_DISCOVERY_SIGNAL |
| los-angeles-independent-cities | torrance | rreef sequoia commerce center | 6 | STRONG_DISCOVERY_SIGNAL |
