Municipality conflicts — ranked review queue

Every listed record remains blocked from target-city geography promotion. Classification covers all 197 conflicts; this concise queue shows up to 50 per pilot.

| Market | Property | Municipality | Classification | Promotion blocked | Legacy IDs |
|---|---|---|---|---|---|
| las-vegas-clark-county | 1045 palms airport dr | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 143510 |
| las-vegas-clark-county | 1075 e twain ave | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 144195 |
| las-vegas-clark-county | 1085 palms airport dr | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 143504 |
| las-vegas-clark-county | 1090 e desert inn rd | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 190345 |
| las-vegas-clark-county | 1100 grier dr | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 166005 |
| las-vegas-clark-county | 1110 palms airport dr | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 143520 |
| las-vegas-clark-county | 1111 grier dr | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 156430 |
| las-vegas-clark-county | 1130 e desert inn rd | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 243324 |
| las-vegas-clark-county | 1140 e desert inn rd | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 2174165 |
| las-vegas-clark-county | 1151 grier dr | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 191791 |
| las-vegas-clark-county | 1175 e flamingo rd | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 202605 |
| las-vegas-clark-county | 1181 grier dr | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 156498 |
| las-vegas-clark-county | 125 harmon ave 1018 | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 1014047 |
| las-vegas-clark-county | 1325 e flamingo rd | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 230927 |
| las-vegas-clark-county | 135 e harmon ave | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 193999 |
| las-vegas-clark-county | 135 harmon ave 3014 | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 696300, 944871 |
| las-vegas-clark-county | 1361 helm dr | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 185416 |
| las-vegas-clark-county | 1421 e sunset rd | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 143728 |
| las-vegas-clark-county | 151 e warm springs rd | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 288995 |
| las-vegas-clark-county | 1516 e tropicana ave | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 161027 |
| las-vegas-clark-county | 1518 raindance way | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 1052220 |
| las-vegas-clark-county | 1525 e sunset rd | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 143729 |
| las-vegas-clark-county | 1541 e harmon ave | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 204243 |
| las-vegas-clark-county | 1545 pama ln | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 143741 |
| las-vegas-clark-county | 1601 e flamingo rd | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 206782 |
| las-vegas-clark-county | 1660 helm dr | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 144050 |
| las-vegas-clark-county | 1700 e flamingo rd | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 144751 |
| las-vegas-clark-county | 1708 commanche cir | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 193979 |
| las-vegas-clark-county | 1725 e warm springs rd | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 173997 |
| las-vegas-clark-county | 175 e warm springs rd | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 152784 |
| las-vegas-clark-county | 1800 e desert inn rd | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 242632 |
| las-vegas-clark-county | 1820 e desert inn rd | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 187406 |
| las-vegas-clark-county | 1855 e warm springs rd | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 2175791 |
| las-vegas-clark-county | 1889 e maule ave | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 144222, 143519 |
| las-vegas-clark-county | 1948 gabriel dr | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 1066201 |
| las-vegas-clark-county | 1951 glistening sands dr | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 729834 |
| las-vegas-clark-county | 2000 n fashion show dr | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 1068120, 733055 |
| las-vegas-clark-county | 2030 e flamingo rd | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 144188 |
| las-vegas-clark-county | 2033 rockledge dr | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 1071601 |
| las-vegas-clark-county | 205 e harmon ave | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 736358 |
| las-vegas-clark-county | 205 e warm springs rd | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 143771 |
| las-vegas-clark-county | 2080 e flamingo rd | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 143769 |
| las-vegas-clark-county | 2086 e maule ave | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 224052 |
| las-vegas-clark-county | 2110 e flamingo rd | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 143755 |
| las-vegas-clark-county | 2121 e flamingo rd | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 199549 |
| las-vegas-clark-county | 215 e tropicana ave | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 173254 |
| las-vegas-clark-county | 222 karen ave | Las Vegas | REQUIRES_HUMAN_REVIEW | true | 217318, 746152 |
