Representative candidates

Candidate generation only; live recommendation representative sets are unchanged.

| Market | Property | Municipality | Geography | Decision | Media |
|---|---|---|---|---|---|
| east-bay | 1 kaiser plz | Oakland | Uptown Oakland | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | 1111 broadway | Oakland | Old Oakland | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | 1221 broadway | Oakland | Old Oakland | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | 1300 broadway | Oakland | Downtown Oakland | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | 1300 clay st | Oakland | Downtown Oakland | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | 1333 broadway | Oakland | Downtown Oakland | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | 1410 7th st | Oakland | West Oakland | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | 1440 7th st | Oakland | West Oakland | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | 1440 broadway | Oakland | Downtown Oakland | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | 1814 franklin st | Oakland | Downtown Oakland | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | 1901 harrison st | Oakland | Uptown Oakland | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | 1970 broadway | Oakland | Uptown Oakland | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | 2100 franklin st | Oakland | Uptown Oakland | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | 2101 webster st | Oakland | Uptown Oakland | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | 2111 franklin st | Oakland | Uptown Oakland | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | 2201 broadway | Oakland | Uptown Oakland | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | 2335 broadway | Oakland | Uptown Oakland | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | 300 frank h ogawa plz | Oakland | Downtown Oakland | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | 415 20th st | Oakland | Uptown Oakland | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | 505 14th st | Oakland | Downtown Oakland | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | 610 16th st | Oakland | Downtown Oakland | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | 66 franklin st | Oakland | Jack London Square | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
