Mandatory deterministic sample review

Up to five deterministically ordered records per market/category. Verdicts are encoded in the machine artifact.

| Market | Category | Property | Municipality | Status | Verdict |
|---|---|---|---|---|---|
| atlanta | AUTO_RECONCILE_QA | 100 n main st | Alpharetta | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| atlanta | AUTO_PROMOTABLE_INTERNAL | 12600 deerfield pkwy | Alpharetta | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| atlanta | AUTO_RECONCILE_QA | 13010 morris rd | Alpharetta | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| atlanta | AUTO_PROMOTABLE_INTERNAL | 2300 lakeview pkwy | Alpharetta | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| atlanta | AUTO_PROMOTABLE_INTERNAL | 2475 northwinds pkwy one northwinds | Alpharetta | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| atlanta | AUTO_RECONCILE_QA | 3005 royal blvd s | Alpharetta | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| atlanta | AUTO_RECONCILE_QA | 3440 preston ridge rd | Alpharetta | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| atlanta | AUTO_RECONCILE_QA | 4400 n point pkwy | Alpharetta | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| atlanta | AUTO_PROMOTABLE_INTERNAL | 4550 n point pkwy | Alpharetta | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| atlanta | AUTO_PROMOTABLE_INTERNAL | 4555 mansell rd | Alpharetta | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| detroit-novi | AUTO_RECONCILE_QA | 1751 summit dr | Auburn Hills | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| detroit-novi | AUTO_RECONCILE_QA | 3201 university dr | Auburn Hills | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| detroit-novi | AUTO_RECONCILE_QA | 3250 university dr | Auburn Hills | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| detroit-novi | AUTO_RECONCILE_QA | 13530 michigan ave | Dearborn | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| detroit-novi | AUTO_RECONCILE_QA | 15101 century dr | Dearborn | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| detroit-novi | AUTO_PROMOTABLE_INTERNAL | 3200 greenfield rd | Dearborn | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| detroit-novi | AUTO_PROMOTABLE_INTERNAL | 1001 woodward ave | Detroit | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| detroit-novi | AUTO_PROMOTABLE_INTERNAL | 19 clifford st | Detroit | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| detroit-novi | AUTO_PROMOTABLE_INTERNAL | 2110 park ave suites 200 600 | Detroit | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| detroit-novi | AUTO_PROMOTABLE_INTERNAL | 400 renaissance ctr | Detroit | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| east-bay | AUTO_RECONCILE_QA | 1070 marina village pkwy | Alameda | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
| east-bay | AUTO_PROMOTABLE_INTERNAL | 1101 marina village pkwy | Alameda | CANONICAL_MATCH | PASSED_CANONICAL_IDENTITY_SAMPLE |
| east-bay | AUTO_RECONCILE_QA | 1451 harbor bay pkwy | Alameda | RECONCILED_PROPERTY | PASSED_CONSERVATIVE_RECONCILIATION_SAMPLE |
