Property-type conflicts

Historical observations are preserved; reviewed canonical type prevails and multi-type is not inferred.

| Market | Property | Historical | Canonical | Decision |
|---|---|---|---|---|
| east-bay | 1608 4th st | office | flex, industrial | CANONICAL_TYPE_PREVAILS |
| east-bay | 2501 9th st | office | industrial | CANONICAL_TYPE_PREVAILS |
| east-bay | 2560 9th st | office | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 2600 10th st | office | flex, special_purpose_unresolved | CANONICAL_TYPE_PREVAILS |
| east-bay | 2929 7th st | office | industrial | CANONICAL_TYPE_PREVAILS |
| east-bay | 3100 san pablo ave | industrial, office | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 650 university ave | industrial, office | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 717 potter st | office | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 918 parker st | office | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 950 gilman st | office | industrial | CANONICAL_TYPE_PREVAILS |
| east-bay | 1400 65th st | office | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 1480 64th st | office | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 4045 horton st | industrial, office | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 967 stanford ave | industrial | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 215 fourier ave | office | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 3068 laurelview ct | industrial, office | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 40460 albrae st | office | industrial | CANONICAL_TYPE_PREVAILS |
| east-bay | 41407 41601 albrae st | industrial | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 41444 christy st | industrial, office | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 41460 christy st | industrial, office | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 41638 41758 christy st | office | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 42744 boscell rd | industrial | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 42840 christy st | office | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 4400 auto mall pkwy | industrial | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 44235 nobel dr | office | industrial | CANONICAL_TYPE_PREVAILS |
| east-bay | 4580 auto mall pkwy | industrial, office | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 46723 lakeview blvd | office | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 47421 bayside pkwy | office | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 47697 westinghouse dr | industrial, office | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 48000 48016 fremont blvd | industrial, office | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 48301 lakeview blvd | office | flex | CANONICAL_TYPE_PREVAILS |
| east-bay | 48603 warm springs blvd | office | industrial, special_purpose_unresolved | CANONICAL_TYPE_PREVAILS |
| east-bay | 48810 48818 kato rd | office | industrial, special_purpose_unresolved | CANONICAL_TYPE_PREVAILS |
| east-bay | 48834 kato rd | office | industrial | CANONICAL_TYPE_PREVAILS |
