Atlas integration findings

Atlas levels remain unchanged. Sacramento and Indianapolis reviewed address links remain confirmed. Candidate-source SF/Denver relationships were downgraded pending boundary evidence. Orlando remains discovery-only.

| Market | Property | Candidate | Confidence |
|---|---|---|---|
| orlando | 1016 w s st | Downtown South Industrial candidate | CANDIDATE |
| orlando | 1181 tradeport dr | Tradeport / Airport Industrial Park candidate | CANDIDATE |
| orlando | 300 e s st | Downtown South Industrial candidate | CANDIDATE |
| orlando | 3009 w oak ridge rd | Millenia commercial cluster candidate | CANDIDATE |
| orlando | 3760 n john young pkwy | Millenia commercial cluster candidate | CANDIDATE |
| orlando | 3765 n john young pkwy | Millenia commercial cluster candidate | CANDIDATE |
| orlando | 4161 n john young pkwy | Millenia commercial cluster candidate | CANDIDATE |
| orlando | 4190 millenia blvd | Millenia commercial cluster candidate | CANDIDATE |
| orlando | 4550 s john young pkwy | Millenia commercial cluster candidate | CANDIDATE |
| orlando | 4700 millenia blvd | Millenia commercial cluster candidate | CANDIDATE |
| orlando | 4706 millenia plaza way | Millenia commercial cluster candidate | CANDIDATE |
| orlando | 4724 millenia plaza way | Millenia commercial cluster candidate | CANDIDATE |
| orlando | 515 n john young pkwy | Millenia commercial cluster candidate | CANDIDATE |
| orlando | 601 n john young pkwy | Millenia commercial cluster candidate | CANDIDATE |
| orlando | 618 e s st | Downtown South Industrial candidate | CANDIDATE |
| orlando | 6325 mccoy rd | Tradeport / Airport Industrial Park candidate | CANDIDATE |
| orlando | 6333 mccoy rd | Tradeport / Airport Industrial Park candidate | CANDIDATE |
| orlando | 8200 boggy creek rd | Tradeport / Airport Industrial Park candidate | CANDIDATE |
| orlando | 8301 mccoy rd | Tradeport / Airport Industrial Park candidate | CANDIDATE |
| orlando | 8335 s john young pkwy | Millenia commercial cluster candidate | CANDIDATE |
| orlando | 8421 8481 john young pkwy | Millenia commercial cluster candidate | CANDIDATE |
| orlando | 8421 s john young pkwy | Millenia commercial cluster candidate | CANDIDATE |
| orlando | 8440 8442 tradeport dr | Tradeport / Airport Industrial Park candidate | CANDIDATE |
| orlando | 8440 tradeport dr | Tradeport / Airport Industrial Park candidate | CANDIDATE |
| orlando | 8442 tradeport dr | Tradeport / Airport Industrial Park candidate | CANDIDATE |
| orlando | 8481 s john young pkwy | Millenia commercial cluster candidate | CANDIDATE |
| orlando | 9391 tradeport dr | Tradeport / Airport Industrial Park candidate | CANDIDATE |
| orlando | 9687 tradeport dr | Tradeport / Airport Industrial Park candidate | CANDIDATE |
