# Duplicate, suite, and campus review

Suite observations and ambiguous campuses are never auto-promoted as buildings.

| Market | Property | Municipality | Conflicts | Legacy IDs |
|---|---|---|---|---|
| san-francisco | 1 beach st | San Francisco | MULTIPLE_LEGACY_IDS | 38837, 109169 |
| san-francisco | 1 bush st | San Francisco | MULTIPLE_LEGACY_IDS | 38840, 112081 |
| san-francisco | 1 california st | San Francisco | MULTIPLE_LEGACY_IDS | 38842, 110576 |
| san-francisco | 1 clarence pl | San Francisco | MULTIPLE_LEGACY_IDS | 38844, 165041 |
| san-francisco | 1 daniel burnham ct | San Francisco | MULTIPLE_LEGACY_IDS | 38847, 110172, 657758 |
| san-francisco | 1 embarcadero | San Francisco | MULTIPLE_LEGACY_IDS | 2054237, 314810 |
| san-francisco | 1 embarcadero ctr | San Francisco | MULTIPLE_LEGACY_IDS | 109377, 352522 |
| san-francisco | 1 enterprise st | San Francisco | MULTIPLE_LEGACY_IDS | 38851, 158540 |
| san-francisco | 1 ferry bldg | San Francisco | MULTIPLE_LEGACY_IDS | 263144, 351750 |
| san-francisco | 1 front st | San Francisco | MULTIPLE_LEGACY_IDS | 38853, 111330, 108504, 128430 |
| san-francisco | 1 hallidie plz | San Francisco | MULTIPLE_LEGACY_IDS | 109788, 420574 |
| san-francisco | 1 letterman dr | San Francisco | MULTIPLE_LEGACY_IDS | 110136, 128071, 220562 |
| san-francisco | 1 maritime plz | San Francisco | MULTIPLE_LEGACY_IDS | 158652, 558874 |
| san-francisco | 1 market st | San Francisco | MULTIPLE_LEGACY_IDS | 478356, 128522, 282382 |
| san-francisco | 1 montgomery st | San Francisco | MULTIPLE_LEGACY_IDS | 38867, 914066, 646212, 1158669 |
| san-francisco | 1 nob hill cir | San Francisco | MULTIPLE_LEGACY_IDS | 38869, 109385 |
| san-francisco | 1 post st | San Francisco | MULTIPLE_LEGACY_IDS | 112185, 127705 |
| san-francisco | 1 sansome st | San Francisco | MULTIPLE_LEGACY_IDS | 38877, 148900 |
| san-francisco | 1 sutter st | San Francisco | MULTIPLE_LEGACY_IDS | 108056, 146365 |
