Municipality conflicts — ranked review queue

Every listed record remains blocked from target-city geography promotion. Classification covers all 2442 conflicts; this concise queue shows up to 50 per pilot.

| Market | Property | Municipality | Classification | Promotion blocked | Legacy IDs |
|---|---|---|---|---|---|
| sacramento | 10009 10025 folsom blvd | Rancho Cordova | MARKET_LABEL_TOO_BROAD | true | 1126614, 1154961, 1157940, 1189760, 1255080, 1490821, 1308001, 1369304, 1407465, 1447949, 1691500, 1534932, 1569801, 1618179 |
| sacramento | 10009 folsom blvd | Rancho Cordova | MARKET_LABEL_TOO_BROAD | true | 140954 |
| sacramento | 10013 folsom blvd | Rancho Cordova | MARKET_LABEL_TOO_BROAD | true | 141095 |
| sacramento | 10054 mills station rd | Rancho Cordova | MARKET_LABEL_TOO_BROAD | true | 128984 |
| sacramento | 10077 folsom blvd | Rancho Cordova | MARKET_LABEL_TOO_BROAD | true | 115007 |
| sacramento | 10083 folsom blvd | Rancho Cordova | MARKET_LABEL_TOO_BROAD | true | 115004 |
| sacramento | 10089 folsom blvd | Rancho Cordova | MARKET_LABEL_TOO_BROAD | true | 115006 |
| sacramento | 10109 folsom blvd | Rancho Cordova | MARKET_LABEL_TOO_BROAD | true | 115003 |
| sacramento | 10113 folsom blvd | Rancho Cordova | MARKET_LABEL_TOO_BROAD | true | 115002 |
| sacramento | 10115 folsom blvd | Rancho Cordova | MARKET_LABEL_TOO_BROAD | true | 115001 |
| sacramento | 10117 folsom blvd | Rancho Cordova | MARKET_LABEL_TOO_BROAD | true | 115000 |
| sacramento | 10121 folsom blvd | Rancho Cordova | MARKET_LABEL_TOO_BROAD | true | 115040 |
| sacramento | 10134 coloma rd | Rancho Cordova | MARKET_LABEL_TOO_BROAD | true | 114441 |
| sacramento | 10137 folsom blvd | Rancho Cordova | MARKET_LABEL_TOO_BROAD | true | 115048 |
| sacramento | 10138 coloma rd | Rancho Cordova | MARKET_LABEL_TOO_BROAD | true | 114449 |
| sacramento | 10139 folsom blvd | Rancho Cordova | MARKET_LABEL_TOO_BROAD | true | 115047 |
| sacramento | 10145 folsom blvd | Rancho Cordova | MARKET_LABEL_TOO_BROAD | true | 115046 |
| sacramento | 10149 folsom blvd | Rancho Cordova | MARKET_LABEL_TOO_BROAD | true | 115045 |
| sacramento | 10151 croydon way | Rancho Cordova | MARKET_LABEL_TOO_BROAD | true | 128986 |
| sacramento | 10154 coloma rd | Rancho Cordova | MARKET_LABEL_TOO_BROAD | true | 114448 |
