San Francisco: A/B/C 16/3/0; office=7R/0C, retail=9R/3C, industrial=5R/0C, flex=6R/0C
San Diego: A/B/C 8/4/1; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Orange County: A/B/C 2/7/2; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Phoenix: A/B/C 3/3/1; office=0R/2C, retail=0R/2C, industrial=3R/0C, flex=3R/0C
Indianapolis: A/B/C 2/3/0; office=0R/0C, retail=0R/0C, industrial=2R/0C, flex=2R/0C
Sacramento: A/B/C 3/5/2; office=0R/2C, retail=0R/2C, industrial=2R/0C, flex=2R/0C
Seattle: A/B/C 3/5/1; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Denver: A/B/C 3/7/2; office=0R/4C, retail=0R/4C, industrial=0R/3C, flex=0R/3C
Los Angeles: A/B/C 4/9/4; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Oakland / East Bay: A/B/C 4/7/3; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
San Jose: A/B/C 1/4/2; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Peninsula: A/B/C 4/6/2; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Chicago: A/B/C 1/4/4; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Albuquerque: A/B/C 0/2/4; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Baton Rouge: A/B/C 0/2/4; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Louisville: A/B/C 1/3/2; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Sarasota: A/B/C 0/2/3; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Knoxville: A/B/C 0/2/3; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Tampa: A/B/C 1/4/2; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Houston: A/B/C 1/5/3; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Miami: A/B/C 2/4/2; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Atlanta: A/B/C 1/4/3; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Jacksonville: A/B/C 0/4/2; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Tallahassee: A/B/C 0/3/2; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Oklahoma City: A/B/C 1/3/3; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Corpus Christi: A/B/C 0/2/3; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Pensacola: A/B/C 0/2/3; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
San Antonio: A/B/C 2/4/2; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Buffalo: A/B/C 2/4/2; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
New Orleans: A/B/C 2/3/2; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
New York / Brooklyn: A/B/C 3/4/2; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Fort Wayne: A/B/C 1/1/3; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Detroit / Novi: A/B/C 1/3/3; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Austin: A/B/C 2/4/3; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Stockton: A/B/C 0/3/2; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Boise: A/B/C 1/3/2; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Colorado Springs: A/B/C 0/3/3; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Las Vegas: A/B/C 1/3/3; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Grand Rapids: A/B/C 0/3/2; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Spokane: A/B/C 0/2/3; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Raleigh / Durham: A/B/C 2/4/2; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Dallas: A/B/C 2/4/3; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Orlando: A/B/C 1/3/4; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Nashville: A/B/C 1/3/3; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Charlotte: A/B/C 1/3/3; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Kansas City MO / KS: A/B/C 2/3/3; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Manchester region: A/B/C 1/3/3; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Bridgeport: A/B/C 1/2/2; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Palmetto / Bradenton: A/B/C 1/3/3; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
Naperville: A/B/C 1/2/2; office=0R/0C, retail=0R/0C, industrial=0R/0C, flex=0R/0C
