Geography coverage

| Market | Geography | Reviewed | Strong | Possible | Environment | RI leverage |
|---|---|---|---|---|---|---|
| san-francisco | financial-district | 3 |  |  |  | HIGH_RI_LEVERAGE |
| san-francisco | mission-bay | 3 |  |  |  | HIGH_RI_LEVERAGE |
| sacramento | power-inn-industrial | 2 |  |  |  | HIGH_RI_LEVERAGE |
| san-francisco | soma | 2 |  |  |  | HIGH_RI_LEVERAGE |
| indianapolis | indianapolis-airport-logistics | 1 |  |  | 1 | HIGH_RI_LEVERAGE |
| indianapolis | park-100-northwest-indianapolis | 1 |  |  | 1 | HIGH_RI_LEVERAGE |
| sacramento | northgate-north-market-industrial | 1 |  |  | 1 | HIGH_RI_LEVERAGE |
| san-francisco | dogpatch | 1 |  |  |  | HIGH_RI_LEVERAGE |
| denver-aurora | den-ballpark |  |  | 1 |  | MEDIUM_RI_LEVERAGE |
| denver-aurora | den-central-business-district |  |  | 3 |  | MEDIUM_RI_LEVERAGE |
| denver-aurora | den-cherry-creek |  |  | 2 |  | MEDIUM_RI_LEVERAGE |
| denver-aurora | den-denver-tech-center |  |  | 3 |  | MEDIUM_RI_LEVERAGE |
| denver-aurora | den-lodo |  |  | 2 |  | MEDIUM_RI_LEVERAGE |
| denver-aurora | den-sun-valley |  |  | 5 |  | MEDIUM_RI_LEVERAGE |
| east-bay | oak-downtown-oakland |  |  | 8 |  | MEDIUM_RI_LEVERAGE |
| east-bay | oak-jack-london-square |  |  | 1 |  | MEDIUM_RI_LEVERAGE |
| east-bay | oak-old-oakland |  |  | 2 |  | MEDIUM_RI_LEVERAGE |
| east-bay | oak-uptown |  |  | 9 |  | MEDIUM_RI_LEVERAGE |
| east-bay | oak-west-oakland |  |  | 2 |  | MEDIUM_RI_LEVERAGE |
| san-francisco | sf-civic-center |  |  | 7 |  | MEDIUM_RI_LEVERAGE |
| san-francisco | sf-financial-district |  |  | 12 |  | MEDIUM_RI_LEVERAGE |
| san-francisco | sf-hayes-valley |  |  | 2 |  | MEDIUM_RI_LEVERAGE |
| san-francisco | sf-jackson-square |  |  | 7 |  | MEDIUM_RI_LEVERAGE |
| san-francisco | sf-soma |  |  | 1 |  | MEDIUM_RI_LEVERAGE |
| san-francisco | sf-union-square |  |  | 12 |  | MEDIUM_RI_LEVERAGE |
| orlando | orlando-downtown-south-industrial-candidate |  |  |  |  | LOW_RI_LEVERAGE |
