Media-rights review

Property credibility and media rights are independent. No historical imagery is reusable by default.

| Market | Geography | Representative | Status | Media |
|---|---|---|---|---|
| san-francisco | sf-civic-center | 1045 Mission St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-civic-center | 1100 Van Ness Ave | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-civic-center | 1133 Market St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-civic-center | 1390 Market St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-civic-center | 320 Turk St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-civic-center | 369 Turk St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-civic-center | 508 Ellis St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-financial-district | 1 Sansome St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-financial-district | 201 Mission St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-financial-district | 212 Sutter St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-financial-district | 315 Montgomery St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-financial-district | 325 Kearny St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-financial-district | 333 Kearny St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-financial-district | 44 Montgomery St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-financial-district | 505 Montgomery St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-financial-district | 545 Folsom St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-financial-district | 580 California St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-financial-district | 600 California St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-financial-district | 650 California St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-hayes-valley | 1998 Market St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-hayes-valley | 555 Fulton St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-jackson-square | 1100 Grant Ave | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-jackson-square | 2 Embarcadero Ctr | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-jackson-square | 27 Drumm St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-jackson-square | 33 Drumm St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-jackson-square | 50 California St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-jackson-square | 75 Broadway | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-jackson-square | 924 Sansome St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-soma | 795 Folsom St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-union-square | 155 Post St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-union-square | 345 Taylor St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-union-square | 39 Grant Ave | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-union-square | 418 Sutter St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-union-square | 441 Powell St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-union-square | 45 Kearny St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-union-square | 50 Maiden Ln | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-union-square | 590 Sutter St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-union-square | 600 Stockton St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-union-square | 711 Market St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-union-square | 841 Jones St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | sf-union-square | 844 Market St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | dogpatch | 70 Pier Bldg 102 | REVIEWED_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | financial-district | 101 California St | REVIEWED_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | financial-district | 345 California St | REVIEWED_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | financial-district | 555 California St | REVIEWED_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | mission-bay | 1800 Owens St | REVIEWED_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | mission-bay | 500 Terry Francois Blvd | REVIEWED_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | mission-bay | 550 Terry A Francois Blvd | REVIEWED_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | soma | 181 Fremont St | REVIEWED_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | soma | 415 Mission St | REVIEWED_REPRESENTATIVE | RIGHTS_UNKNOWN |
