Future public-use review

Nothing in this report is published.

| Market | Property | Status | Media |
|---|---|---|---|
| san-francisco | 1045 Mission St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 1100 Van Ness Ave | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 1133 Market St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 1390 Market St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 320 Turk St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 369 Turk St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 508 Ellis St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 1 Sansome St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 201 Mission St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 212 Sutter St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 315 Montgomery St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 325 Kearny St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 333 Kearny St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 44 Montgomery St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 505 Montgomery St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 545 Folsom St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 580 California St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 600 California St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 650 California St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 1998 Market St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 555 Fulton St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 1100 Grant Ave | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 2 Embarcadero Ctr | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 27 Drumm St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 33 Drumm St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 50 California St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 75 Broadway | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 924 Sansome St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 795 Folsom St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 155 Post St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 345 Taylor St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 39 Grant Ave | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 418 Sutter St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 441 Powell St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 45 Kearny St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 50 Maiden Ln | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 590 Sutter St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 600 Stockton St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 711 Market St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
