Reviewed representatives

| Market | Geography | Representative | Status | Media |
|---|---|---|---|---|
| san-francisco | dogpatch | 1501 Mariposa St | REVIEWED_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | dogpatch | 70 Pier Bldg 102 | REVIEWED_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | financial-district | 101 California St | REVIEWED_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | financial-district | 212 Sutter St | REVIEWED_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | financial-district | 325 Kearny St | REVIEWED_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | financial-district | 345 California St | REVIEWED_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | financial-district | 555 California St | REVIEWED_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | financial-district | 600 Montgomery St | REVIEWED_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | mission-bay | 1800 Owens St | REVIEWED_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | mission-bay | 500 Terry Francois Blvd | REVIEWED_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | mission-bay | 550 Terry A Francois Blvd | REVIEWED_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | soma | 181 Fremont St | REVIEWED_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | soma | 415 Mission St | REVIEWED_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | soma | 600 Townsend St | REVIEWED_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | soma | 650 Townsend St | REVIEWED_REPRESENTATIVE | RIGHTS_UNKNOWN |
| san-francisco | soma | 888 Brannan St | REVIEWED_REPRESENTATIVE | RIGHTS_UNKNOWN |
| sacramento | northgate-north-market-industrial | 1329 N Market Boulevard | REVIEWED_REPRESENTATIVE | RIGHTS_UNKNOWN |
| sacramento | power-inn-industrial | 5711 Florin Perkins Road | REVIEWED_REPRESENTATIVE | RIGHTS_UNKNOWN |
| sacramento | power-inn-industrial | 8583 Elder Creek Road | REVIEWED_REPRESENTATIVE | RIGHTS_UNKNOWN |
| indianapolis | indianapolis-airport-logistics | 4557 W Bradbury Avenue | REVIEWED_REPRESENTATIVE | RIGHTS_UNKNOWN |
| indianapolis | park-100-northwest-indianapolis | 7601 Winton Drive | REVIEWED_REPRESENTATIVE | RIGHTS_UNKNOWN |
