building_name,address,city,state,primary_space_type,company,source_url,image_url,has_availability,availability_count,min_size_sf,max_size_sf,size_summary,description_snippet,virtual_tour_url,contact_name,contact_email,contact_phone,confidence,reviewed
10 Glenlake North,10 Glenlake Parkway,Atlanta,GA,Office,Highwoods Properties,https://www.highwoods.com/find-your-space/detail/10-glenlake-north,https://s3.us-east-1.amazonaws.com/assets-v2.highwoods.com/content-refresh/images/properties/_propertyHero/1434402469.7da66babfa9faa9f299cd4ca3d856396.jpg,true,5,2639,27414,"2,639 to 27,414 SF observed range","Discover 10 Glenlake North, a renovated Class A office tower in Atlanta’s Central Perimeter with modern amenities, lake views and easy access to GA 400 and I-285.",https://view.ricoh360.com/b40001de-c243-440d-ae3a-4d4fb699e29c,John Grimsley,John.Grimsley@highwoods.com,404-443-1875,0.98,true
10 Glenlake South,10 Glenlake Parkway,Atlanta,GA,Office,Highwoods Properties,https://www.highwoods.com/find-your-space/detail/10-glenlake-south,https://s3.us-east-1.amazonaws.com/assets-v2.highwoods.com/content-refresh/images/properties/_propertyHero/1433863906.c9611cb9a19a9ea55e0ec7c3bf4401cd.jpg,true,5,2600,25987,"2,600 to 25,987 SF observed range","Experience 10 Glenlake South, a renovated Class A office tower in Atlanta’s Central Perimeter with modern amenities, lake views and easy access to GA 400 and I-285.",https://view.ricoh360.com/98ff2717-141f-48ff-b488-111adc6fadb3,John Grimsley,John.Grimsley@highwoods.com,404-443-1875,0.98,true
1825 Century Boulevard,1825 Century Boulevard,Atlanta,GA,Office,Highwoods Properties,https://www.highwoods.com/find-your-space/detail/1825-century-boulevard,https://s3.us-east-1.amazonaws.com/assets-v2.highwoods.com/content-refresh/images/properties/_propertyHero/1434468792.701d4af5bb42246b48e3afb0ca357029.jpg,true,1,,,,,,John Grimsley,John.Grimsley@highwoods.com,404-443-1875,0.90,true
1875 Century Boulevard,1875 Century Boulevard,Atlanta,GA,Office,Highwoods Properties,https://www.highwoods.com/find-your-space/detail/1875-century-boulevard,https://s3.us-east-1.amazonaws.com/assets-v2.highwoods.com/content-refresh/images/properties/_propertyHero/1495645501.1875-exterior.jpg,true,2,3968,8051,"3,968 to 8,051 SF observed range",,,John Grimsley,John.Grimsley@highwoods.com,404-443-1875,0.98,true
2200 Century Parkway,2200 Century Parkway,Atlanta,GA,Office,Highwoods Properties,https://www.highwoods.com/find-your-space/detail/2200-century-parkway,https://s3.us-east-1.amazonaws.com/assets-v2.highwoods.com/content-refresh/images/properties/_propertyHero/1434572817.92298b3d737bfc11f5d04320025bb305.jpg,true,8,1198,13597,"1,198 to 13,597 SF observed range",,https://view.ricoh360.com/fd4e8013-6df5-4898-b53c-a910204157aa,John Grimsley,John.Grimsley@highwoods.com,404-443-1875,0.98,true
2400 Century Parkway,2400 Century Parkway,Atlanta,GA,Office,Highwoods Properties,https://www.highwoods.com/find-your-space/detail/2400-century-parkway,https://s3.us-east-1.amazonaws.com/assets-v2.highwoods.com/content-refresh/images/properties/_propertyHero/1434573785.1b81a8c8a6bc93d65904876d450f7884.jpg,true,1,23809,23809,"23,809 SF observed size signal",,,John Grimsley,John.Grimsley@highwoods.com,404-443-1875,0.98,true
2600 Century Parkway,2600 Century Parkway,Atlanta,GA,Office,Highwoods Properties,https://www.highwoods.com/find-your-space/detail/2600-century-parkway,https://s3.us-east-1.amazonaws.com/assets-v2.highwoods.com/content-refresh/images/properties/_propertyHero/1434574064.c2fc5210951579ee7a9c130da0ea3b0b.jpg,true,1,,,,,,John Grimsley,John.Grimsley@highwoods.com,404-443-1875,0.90,true
2635 Century Parkway,2635 Century Parkway,Atlanta,GA,Office,Highwoods Properties,https://www.highwoods.com/find-your-space/detail/2635-century-parkway,https://s3.us-east-1.amazonaws.com/assets-v2.highwoods.com/content-refresh/images/properties/_propertyHero/1434633784.dfbf0a527e870933dbba48618e4bdd49.jpg,true,2,1950,3645,"1,950 to 3,645 SF observed range",,,John Grimsley,John.Grimsley@highwoods.com,404-443-1875,0.98,true
2800 Century Parkway,2800 Century Parkway,Atlanta,GA,Office,Highwoods Properties,https://www.highwoods.com/find-your-space/detail/2800-century-parkway,https://s3.us-east-1.amazonaws.com/assets-v2.highwoods.com/content-refresh/images/properties/_propertyHero/1443209590.2800-century-center_ext-2012_07_120-dpi.jpg,true,3,2400,5278,"2,400 to 5,278 SF observed range",,https://view.ricoh360.com/be452a1a-e002-4681-98fc-db66a6251e4e,John Grimsley,John.Grimsley@highwoods.com,404-443-1875,0.98,true
2827 Peachtree,"2827 Peachtree Road Northeast, Buckhead",Atlanta,GA,Office,Highwoods Properties,https://www.highwoods.com/find-your-space/detail/2827-peachtree,https://s3.us-east-1.amazonaws.com/assets-v2.highwoods.com/content-refresh/images/properties/_propertyHero/JandDimages-1012823-2006.jpg,true,1,8551,8551,"8,551 SF observed size signal",Discover prestigious office space at 2827 Peachtree in Atlanta&#039;s Buckhead district.,https://view.ricoh360.com/ca6a2192-b514-4049-ad6f-f6e603c10329,John Grimsley,John.Grimsley@highwoods.com,404-443-1875,0.98,true
