source_type,source_name,source_url,source_date,company,contact_name,contact_email,contact_phone,building_name,address,city,state,property_type,available_spaces_count,suite,size_sf,rent,availability_notes,image_url,pdf_url,confidence,needs_review,extracted_at
landlord_website,Highwoods Atlanta market page,https://www.highwoods.com/find-your-space/detail/lofts-at-alliance,,Highwoods Properties,John Grimsley,John.Grimsley@highwoods.com,404-443-1875,The Lofts at Alliance,"3580 Lenox Road Northeast, Buckhead",Atlanta,GA,Office,1,Suite 1100,45029,,"Available now Virtual tour visible: https://view.ricoh360.com/ce89b9ba-360e-4c39-b6c8-4c7f60a43b64 Detail page description: Lofts at Alliance offers unique loft-style office space in Buckhead, Atlanta—perfect for creative teams and growing businesses. Enjoy exposed ceilings, flexible layouts and walkable access to shops and dining. Market source: https://www.highwoods.com/meet-highwoods/our-markets/atlanta. 19 Atlanta properties visible on source page. 103 available spaces visible at market level.",https://s3.us-east-1.amazonaws.com/assets-v2.highwoods.com/content-refresh/images/properties/_propertyHero/The-Lofts.jpg,https://s3.us-east-1.amazonaws.com/assets-v2.highwoods.com/content-refresh/pdf/The-Lofts-Suite-1100-45029-RSF.pdf,0.98,FALSE,2026-05-05T15:55:30.806Z
landlord_website,Highwoods Atlanta market page,https://www.highwoods.com/find-your-space/detail/monarch-tower,,Highwoods Properties,John Grimsley,John.Grimsley@highwoods.com,404-443-1875,Monarch Tower,3424 Peachtree Road,Atlanta,GA,Office,2,Suite C100,6667,,"Available now Detail page description: Elevate your business at Monarch Tower—an iconic Class A office building in Buckhead, Atlanta. Enjoy panoramic views, premium amenities and unmatched access to top destinations. Market source: https://www.highwoods.com/meet-highwoods/our-markets/atlanta. 19 Atlanta properties visible on source page. 103 available spaces visible at market level.",https://s3.us-east-1.amazonaws.com/assets-v2.highwoods.com/content-refresh/images/properties/_propertyHero/Monarch-Tower-Building-Exterior-NEW-V3.jpg,https://s3.us-east-1.amazonaws.com/assets-v2.highwoods.com/content-refresh/pdf/MT-Suite-100-C-6667-RSF.pdf,0.98,FALSE,2026-05-05T15:55:30.806Z
landlord_website,Highwoods Atlanta market page,https://www.highwoods.com/find-your-space/detail/monarch-tower,,Highwoods Properties,John Grimsley,John.Grimsley@highwoods.com,404-443-1875,Monarch Tower,3424 Peachtree Road,Atlanta,GA,Office,2,Suite 750,11508,,"Available now Virtual tour visible: https://view.ricoh360.com/df56a087-7bb0-4c28-924a-f212879f72d3 Detail page description: Elevate your business at Monarch Tower—an iconic Class A office building in Buckhead, Atlanta. Enjoy panoramic views, premium amenities and unmatched access to top destinations. Market source: https://www.highwoods.com/meet-highwoods/our-markets/atlanta. 19 Atlanta properties visible on source page. 103 available spaces visible at market level.",https://s3.us-east-1.amazonaws.com/assets-v2.highwoods.com/content-refresh/images/properties/_propertyHero/Monarch-Tower-Building-Exterior-NEW-V3.jpg,https://s3.us-east-1.amazonaws.com/assets-v2.highwoods.com/content-refresh/pdf/MT-Suite-750-11508-RSF_2025-11-12-201437_ywvx.pdf,0.98,FALSE,2026-05-05T15:55:30.806Z
landlord_website,Highwoods Atlanta market page,https://www.highwoods.com/find-your-space/detail/riverwood-200,,Highwoods Properties,John Grimsley,John.Grimsley@highwoods.com,404-443-1875,Riverwood 200,3300 Riverwood Parkway,Atlanta,GA,Office,2,Suite 175,4169,,Available now Market source: https://www.highwoods.com/meet-highwoods/our-markets/atlanta. 19 Atlanta properties visible on source page. 103 available spaces visible at market level.,https://s3.us-east-1.amazonaws.com/assets-v2.highwoods.com/content-refresh/images/properties/_propertyHero/1501616806.riverwood-200-front.jpg,https://s3.us-east-1.amazonaws.com/assets-v2.highwoods.com/content-refresh/pdf/RW200-Suite-175-4169-RSF_2025-11-12-202435_ouhf.pdf,0.98,FALSE,2026-05-05T15:55:30.806Z
landlord_website,Highwoods Atlanta market page,https://www.highwoods.com/find-your-space/detail/riverwood-200,,Highwoods Properties,John Grimsley,John.Grimsley@highwoods.com,404-443-1875,Riverwood 200,3300 Riverwood Parkway,Atlanta,GA,Office,2,Suite 900,25795,,Available now Virtual tour visible: https://view.ricoh360.com/1b83d3fd-cf71-4258-bbfa-30ae01a6f715 Market source: https://www.highwoods.com/meet-highwoods/our-markets/atlanta. 19 Atlanta properties visible on source page. 103 available spaces visible at market level.,https://s3.us-east-1.amazonaws.com/assets-v2.highwoods.com/content-refresh/images/properties/_propertyHero/1501616806.riverwood-200-front.jpg,https://s3.us-east-1.amazonaws.com/assets-v2.highwoods.com/content-refresh/pdf/RW200-Suite-900-25795-RSF.pdf,0.98,FALSE,2026-05-05T15:55:30.806Z
landlord_website,Highwoods Atlanta market page,https://www.highwoods.com/find-your-space/detail/one-alliance-center,,Highwoods Properties,John Grimsley,John.Grimsley@highwoods.com,404-443-1875,One Alliance,"3500 Lenox Road Northeast, Buckhead",Atlanta,GA,Office,14,Suite 250,10942,,"Detail page description: Discover premium Class A office space at One Alliance Center in Buckhead, Atlanta. Enjoy modern amenities, LEED certification and direct access to top dining, retail and transit options. Lease with Highwoods today. Market source: https://www.highwoods.com/meet-highwoods/our-markets/atlanta. 19 Atlanta properties visible on source page. 103 available spaces visible at market level.",https://s3.us-east-1.amazonaws.com/assets-v2.highwoods.com/content-refresh/images/properties/_propertyHero/One-Alliance-Alternate-Glory-Shot.jpg,https://s3.us-east-1.amazonaws.com/assets-v2.highwoods.com/content-refresh/pdf/OAC-Suite-250-10942-RSF.pdf,0.98,FALSE,2026-05-05T15:55:30.806Z
landlord_website,Highwoods Atlanta market page,https://www.highwoods.com/find-your-space/detail/one-alliance-center,,Highwoods Properties,John Grimsley,John.Grimsley@highwoods.com,404-443-1875,One Alliance,"3500 Lenox Road Northeast, Buckhead",Atlanta,GA,Office,14,Suite 375,4569,,"Available now Detail page description: Discover premium Class A office space at One Alliance Center in Buckhead, Atlanta. Enjoy modern amenities, LEED certification and direct access to top dining, retail and transit options. Lease with Highwoods today. Market source: https://www.highwoods.com/meet-highwoods/our-markets/atlanta. 19 Atlanta properties visible on source page. 103 available spaces visible at market level.",https://s3.us-east-1.amazonaws.com/assets-v2.highwoods.com/content-refresh/images/properties/_propertyHero/One-Alliance-Alternate-Glory-Shot.jpg,,0.98,FALSE,2026-05-05T15:55:30.806Z
landlord_website,Highwoods Atlanta market page,https://www.highwoods.com/find-your-space/detail/one-alliance-center,,Highwoods Properties,John Grimsley,John.Grimsley@highwoods.com,404-443-1875,One Alliance,"3500 Lenox Road Northeast, Buckhead",Atlanta,GA,Office,14,Suite 720,2939,,"Available now Virtual tour visible: https://view.ricoh360.com/298e07dc-979a-41b6-ad79-f09922b8dc49 Detail page description: Discover premium Class A office space at One Alliance Center in Buckhead, Atlanta. Enjoy modern amenities, LEED certification and direct access to top dining, retail and transit options. Lease with Highwoods today. Market source: https://www.highwoods.com/meet-highwoods/our-markets/atlanta. 19 Atlanta properties visible on source page. 103 available spaces visible at market level.",https://s3.us-east-1.amazonaws.com/assets-v2.highwoods.com/content-refresh/images/properties/_propertyHero/One-Alliance-Alternate-Glory-Shot.jpg,https://s3.us-east-1.amazonaws.com/assets-v2.highwoods.com/content-refresh/pdf/OAC-Suite-720-2939-RSF.pdf,0.98,FALSE,2026-05-05T15:55:30.806Z
landlord_website,Highwoods Atlanta market page,https://www.highwoods.com/find-your-space/detail/one-alliance-center,,Highwoods Properties,John Grimsley,John.Grimsley@highwoods.com,404-443-1875,One Alliance,"3500 Lenox Road Northeast, Buckhead",Atlanta,GA,Office,14,Suite 850,12466,,"Available now Detail page description: Discover premium Class A office space at One Alliance Center in Buckhead, Atlanta. Enjoy modern amenities, LEED certification and direct access to top dining, retail and transit options. Lease with Highwoods today. Market source: https://www.highwoods.com/meet-highwoods/our-markets/atlanta. 19 Atlanta properties visible on source page. 103 available spaces visible at market level.",https://s3.us-east-1.amazonaws.com/assets-v2.highwoods.com/content-refresh/images/properties/_propertyHero/One-Alliance-Alternate-Glory-Shot.jpg,https://s3.us-east-1.amazonaws.com/assets-v2.highwoods.com/content-refresh/pdf/OAC-Suites-850_875-12466-RSF_2025-11-12-193052_oebv.pdf,0.98,FALSE,2026-05-05T15:55:30.806Z
landlord_website,Highwoods Atlanta market page,https://www.highwoods.com/find-your-space/detail/one-alliance-center,,Highwoods Properties,John Grimsley,John.Grimsley@highwoods.com,404-443-1875,One Alliance,"3500 Lenox Road Northeast, Buckhead",Atlanta,GA,Office,14,Suite 1000,19550,,"Available now Detail page description: Discover premium Class A office space at One Alliance Center in Buckhead, Atlanta. Enjoy modern amenities, LEED certification and direct access to top dining, retail and transit options. Lease with Highwoods today. Market source: https://www.highwoods.com/meet-highwoods/our-markets/atlanta. 19 Atlanta properties visible on source page. 103 available spaces visible at market level.",https://s3.us-east-1.amazonaws.com/assets-v2.highwoods.com/content-refresh/images/properties/_propertyHero/One-Alliance-Alternate-Glory-Shot.jpg,https://s3.us-east-1.amazonaws.com/assets-v2.highwoods.com/content-refresh/pdf/OAC-Suite-1000-1075-19550-RSF_2025-11-12-193153_jfbn.pdf,0.98,FALSE,2026-05-05T15:55:30.806Z
landlord_website,Highwoods Atlanta market page,https://www.highwoods.com/find-your-space/detail/one-alliance-center,,Highwoods Properties,John Grimsley,John.Grimsley@highwoods.com,404-443-1875,One Alliance,"3500 Lenox Road Northeast, Buckhead",Atlanta,GA,Office,14,Suite 1100,25749,,"Available now Detail page description: Discover premium Class A office space at One Alliance Center in Buckhead, Atlanta. Enjoy modern amenities, LEED certification and direct access to top dining, retail and transit options. Lease with Highwoods today. Market source: https://www.highwoods.com/meet-highwoods/our-markets/atlanta. 19 Atlanta properties visible on source page. 103 available spaces visible at market level.",https://s3.us-east-1.amazonaws.com/assets-v2.highwoods.com/content-refresh/images/properties/_propertyHero/One-Alliance-Alternate-Glory-Shot.jpg,https://s3.us-east-1.amazonaws.com/assets-v2.highwoods.com/content-refresh/pdf/OAC-Suite-1100-25749-RSF_2025-11-12-193251_mjtp.pdf,0.98,FALSE,2026-05-05T15:55:30.806Z
