city,state_abbr,county,lat,lng,population,zips,building_count,tier,slug,label,city_state_slug,path,source,officefinder_code,incorporated,cdp,ranking,simplemaps_matched,is_new_candidate
Athens,AL,Limestone County,34.7843,-86.9503,29002,35611 35613 35612,0,3,athens,"Athens, AL",athens-al,/commercial-real-estate/AL/athens/,officefinder+simplemaps,2453,TRUE,FALSE,3,true,true
Birmingham,AL,Jefferson County,33.5186,-86.8104,773997,35218 35214 35215 35217 35210 35211 35212 35213 35224 35221 35222 35203 35207 35206 35205 35204 35209 35208 35094 35254 35068 35061 35228 35234 35235 35233 35243 35242 35249 35201 35202 35220 35232 35238 35246 35255 35259 35261 35270 35282 35283 35285 35287 35290 35291 35292 35294 35295 35298,655,2,birmingham,"Birmingham, AL",birmingham-al,/commercial-real-estate/AL/birmingham/,rofo,,,,,true,
Homewood,AL,Jefferson County,33.4619,-86.809,27829,35229 35209 35219 35293,0,3,homewood,"Homewood, AL",homewood-al,/commercial-real-estate/AL/homewood/,officefinder+simplemaps,2219,TRUE,FALSE,3,true,true
Hoover,AL,Jefferson County,33.3763,-86.8068,92642,35216 35226 35244 35242 35236 35260,0,3,hoover,"Hoover, AL",hoover-al,/commercial-real-estate/AL/hoover/,officefinder+simplemaps,1646,TRUE,FALSE,3,true,true
Huntsville,AL,Madison County,34.7304,-86.5861,368074,35801 35803 35802 35805 35806 35741 35824 35763 35757 35756 35810 35811 35816 35896 35742 35762 35804 35807 35809 35814 35815 35893 35894 35895 35897 35899,352,2,huntsville,"Huntsville, AL",huntsville-al,/commercial-real-estate/AL/huntsville/,rofo,,,,,true,
Madison,AL,Madison County,34.7114,-86.7626,60106,35756 35758,0,3,madison,"Madison, AL",madison-al,/commercial-real-estate/AL/madison/,officefinder+simplemaps,2216,TRUE,FALSE,3,true,true
Mobile,AL,Mobile County,30.6954,-88.0399,316714,36652 36606 36607 36604 36605 36602 36603 36608 36609 36688 36582 36615 36617 36611 36610 36619 36618 36695 36693 36601 36616 36628 36633 36640 36644 36660 36670 36675 36689 36691,402,2,mobile,"Mobile, AL",mobile-al,/commercial-real-estate/AL/mobile/,rofo,,,,,true,
Montgomery,AL,Montgomery County,32.3668,-86.3,254752,36112 36113 36110 36111 36116 36114 36115 36109 36130 36117 36101 36105 36104 36107 36106 36057 36108 36118 36120 36121 36123 36124 36125 36131 36132 36135 36140 36141 36142 36177 36191,301,2,montgomery,"Montgomery, AL",montgomery-al,/commercial-real-estate/AL/montgomery/,rofo,,,,,true,
Vestavia Hills,AL,Jefferson County,33.4518,-86.7437,38616,35216 35243 35242 35266 35288 35296,0,3,vestavia-hills,"Vestavia Hills, AL",vestavia-hills-al,/commercial-real-estate/AL/vestavia-hills/,officefinder+simplemaps,2220,TRUE,FALSE,3,true,true
Bentonville,AR,Benton County,36.3547,-94.2305,58249,72713 72712,2,3,bentonville,"Bentonville, AR",bentonville-ar,/commercial-real-estate/AR/bentonville/,rofo,,,,,true,
Fayetteville,AR,Washington County,36.0822,-94.1719,408133,72704 72703 72701 72702,220,3,fayetteville,"Fayetteville, AR",fayetteville-ar,/commercial-real-estate/AR/fayetteville/,rofo,,,,,true,
Fort Smith,AR,Sebastian County,35.3859,-94.3985,124220,72908 72901 72904 72923 72916 72903 72906 72913 72914 72917 72918 72919,220,3,fort-smith,"Fort Smith, AR",fort-smith-ar,/commercial-real-estate/AR/fort-smith/,rofo,,,,,true,
Little Rock,AR,Pulaski County,34.7465,-92.2896,466334,72211 72210 72212 72223 72227 72209 72202 72201 72206 72207 72204 72205 72103 72215 72217 72219 72222 72225 72231 72255 72260 72295,451,2,little-rock,"Little Rock, AR",little-rock-ar,/commercial-real-estate/AR/little-rock/,rofo,,,,,true,
Carefree,AZ,Maricopa County,33.8234,-111.9161,3683,85377,0,3,carefree,"Carefree, AZ",carefree-az,/commercial-real-estate/AZ/carefree/,officefinder+simplemaps,2188,TRUE,FALSE,3,true,true
Chandler,AZ,Maricopa County,33.2825,-111.8514,280136,85248 85249 85226 85224 85225 85286 85246,1,3,chandler,"Chandler, AZ",chandler-az,/commercial-real-estate/AZ/chandler/,rofo,,,,,true,
Flagstaff,AZ,Coconino County,35.1872,-111.6194,81235,86011 86005 86004 86001 86002,1,3,flagstaff,"Flagstaff, AZ",flagstaff-az,/commercial-real-estate/AZ/flagstaff/,rofo,,,,,true,
Mesa,AZ,Maricopa County,33.4015,-111.7178,511764,85208 85209 85201 85202 85203 85204 85205 85206 85207 85215 85213 85212 85210 85211 85214 85216 85274 85275 85277,3,3,mesa,"Mesa, AZ",mesa-az,/commercial-real-estate/AZ/mesa/,rofo,,,,,true,
Oro Valley,AZ,Pima County,32.4208,-110.9767,48162,85755 85704 85742 85737,0,3,oro-valley,"Oro Valley, AZ",oro-valley-az,/commercial-real-estate/AZ/oro-valley/,officefinder+simplemaps,1937,TRUE,FALSE,3,true,true
Paradise Valley,AZ,Maricopa County,33.5434,-111.9595,12611,85253,0,3,paradise-valley,"Paradise Valley, AZ",paradise-valley-az,/commercial-real-estate/AZ/paradise-valley/,officefinder+simplemaps,1918,TRUE,FALSE,3,true,true
