state_abbr,market_name,slug,code,reason
AZ,Catalina Foothills,catalina-foothills,2236,cdp_excluded
AZ,Green Valley,green-valley,1936,cdp_excluded
CA,Alamo,alamo,1608,cdp_excluded
CA,Altadena,altadena,1580,cdp_excluded
CA,Aptos,aptos,1612,cdp_excluded
CA,Bloomington,bloomington,2634,cdp_excluded
CA,Granite Bay,granite-bay,2223,cdp_excluded
CA,Hacienda Heights,hacienda-heights,1554,cdp_excluded
CA,Ladera Ranch,ladera-ranch,2585,cdp_excluded
CA,Marina Del Rey,marina-del-rey,608,cdp_excluded
CA,Northridge,northridge,1956,excluded_non_city
CA,Otay Mesa,otay-mesa,2595,excluded_non_city
CA,Pacoima,pacoima,2622,excluded_non_city
CA,Panorama City,panorama-city,1954,excluded_non_city
CA,Reseda,reseda,1953,excluded_non_city
CA,San Fernando Valley,san-fernando-valley,225,excluded_non_city
CA,Studio City,studio-city,763,excluded_non_city
CA,Tahoe Basin,tahoe-basin,336,excluded_non_city
CA,Tarzana,tarzana,972,excluded_non_city
CA,Winnetka,winnetka,1947,excluded_non_city
CO,Church Ranch,church-ranch,1033,excluded_non_city
CO,Denver Golden Triangle,denver-golden-triangle,1055,excluded_non_city
CO,Highlands Ranch,highlands-ranch,1002,cdp_excluded
CO,Interlocken,interlocken,1034,excluded_non_city
CT,Longmeadow,longmeadow,2575,no_simplemaps_match
CT,New Canaan,new-canaan,2492,cdp_excluded
CT,Sandy Hook,sandy-hook,2495,cdp_excluded
CT,Springfield,springfield,2582,no_simplemaps_match
DC,Capitol Riverfront,capitol-riverfront,1443,no_simplemaps_match
DC,Georgetown,georgetown,1442,no_simplemaps_match
DC,Northeast,northeast,1445,no_simplemaps_match
DC,Northwest,northwest,1446,no_simplemaps_match
DC,Southeast,southeast,1449,no_simplemaps_match
DC,West End,west-end,1444,no_simplemaps_match
DE,Greenville,greenville,1458,cdp_excluded
FL,Celebration,celebration,776,cdp_excluded
FL,Daytona,daytona,959,no_simplemaps_match
FL,East Lake Orient Park,east-lake-orient-park,2263,no_simplemaps_match
FL,Ft. Lauderdale,ft-lauderdale,2451,no_simplemaps_match
FL,Hallandale,hallandale,1606,no_simplemaps_match
FL,Kendall,kendall,576,cdp_excluded
FL,Mango,mango,2627,cdp_excluded
FL,Neptune,neptune,2619,no_simplemaps_match
FL,Saint Pete Beach,saint-pete-beach,1572,no_simplemaps_match
FL,Sandestin,sandestin,2333,no_simplemaps_match
FL,St Lucie,st-lucie,2681,no_simplemaps_match
FL,St Petersburg,st-petersburg,250,no_simplemaps_match
FL,St Petersburg CBD,st-petersburg-cbd,2690,no_simplemaps_match
FL,Town n Country,town-n-country,2266,no_simplemaps_match
FL,Trinity,trinity,1575,cdp_excluded
FL,Valrico,valrico,2628,cdp_excluded
GA,Northlake,northlake,1992,no_simplemaps_match
HI,East Oahu,east-oahu,1281,no_simplemaps_match
HI,Leeward Oahu,leeward-oahu,1286,no_simplemaps_match
HI,Maui,maui,147,no_simplemaps_match
HI,Windward Oahu,windward-oahu,1287,no_simplemaps_match
ID,Treasire Valley,treasire-valley,2661,no_simplemaps_match
IL,Elk Grove,elk-grove,1194,no_simplemaps_match
IL,Mundenlein,mundenlein,1209,no_simplemaps_match
IN,Buchanan,buchanan,2398,no_simplemaps_match
IN,Louisville,louisville,1588,no_simplemaps_match
LA,Saint Rose,saint-rose,1982,no_simplemaps_match
MA,Brighton,brighton,1859,no_simplemaps_match
MA,Jamaica Plain,jamaica-plain,2477,no_simplemaps_match
MA,Roxbury,roxbury,2461,no_simplemaps_match
MD,Annapolis Junction,annapolis-junction,756,no_simplemaps_match
MD,Belair,belair,412,no_simplemaps_match
MD,Beltsville,beltsville,1418,cdp_excluded
MD,Calverton,calverton,1419,cdp_excluded
MD,Clinton,clinton,1429,cdp_excluded
MD,Cockeysville,cockeysville,2269,cdp_excluded
MD,Forestville,forestville,1430,cdp_excluded
MD,Harford,harford,2203,no_simplemaps_match
MD,Landover,landover,1431,cdp_excluded
MD,Lanham,lanham,1432,cdp_excluded
MD,Largo,largo,1433,cdp_excluded
MD,Linthicum,linthicum,131,cdp_excluded
MD,North Bethesda,north-bethesda,1424,cdp_excluded
MD,Owings Mills,owings-mills,759,cdp_excluded
MD,Reistertown,reistertown,2204,no_simplemaps_match
MD,Temple Hills,temple-hills,1434,cdp_excluded
MD,Timonium,timonium,413,cdp_excluded
MD,Wheaton,wheaton,1426,cdp_excluded
MI,Brownstown Township,brownstown-township,2617,no_simplemaps_match
MI,Garfield Twp,garfield-twp,2436,no_simplemaps_match
MI,Gross Pointe,gross-pointe,1084,no_simplemaps_match
MI,Haslett,haslett,1985,cdp_excluded
MI,Okemos,okemos,1987,cdp_excluded
MI,Southeast Michigan,southeast-michigan,364,no_simplemaps_match
MI,Southwest Michigan,southwest-michigan,244,no_simplemaps_match
MN,Hudson,hudson,1498,no_simplemaps_match
MN,Minneapolis CBD,minneapolis-cbd,536,no_simplemaps_match
MN,St Cloud,st-cloud,2349,no_simplemaps_match
MN,St Louis Park,st-louis-park,2267,no_simplemaps_match
MO,Collinsville,collinsville,2532,no_simplemaps_match
MO,Glen Carbon,glen-carbon,2537,no_simplemaps_match
MO,St Louis,st-louis,248,no_simplemaps_match
MO,Westport,westport,1736,no_simplemaps_match
MS,Hinds,hinds,736,no_simplemaps_match
NC,Ballantyne,ballantyne,2675,no_simplemaps_match
NC,Fuquay Varina,fuquay-varina,2602,no_simplemaps_match
NC,Research Triangle,research-triangle,375,no_simplemaps_match
NC,Salem,salem,2209,cdp_excluded
NE,Elkhorn,elkhorn,1385,no_simplemaps_match
NH,West Lebanon,west-lebanon,2081,no_simplemaps_match
NJ,Avenel,avenel,1339,cdp_excluded
NJ,Bergen,bergen,25,no_simplemaps_match
NJ,Blackwood,blackwood,2588,cdp_excluded
NJ,Dayton,dayton,2528,cdp_excluded
NJ,Evesham Township,evesham-township,2285,no_simplemaps_match
NJ,Fords,fords,2377,cdp_excluded
NJ,Hasbrook Heights,hasbrook-heights,2311,no_simplemaps_match
NJ,Kearney,kearney,2636,no_simplemaps_match
NJ,Lake Hopatcong,lake-hopatcong,1464,cdp_excluded
NJ,Lawrenceville,lawrenceville,1327,cdp_excluded
NJ,Marlton,marlton,1405,cdp_excluded
NJ,Meadowlands,meadowlands,2313,no_simplemaps_match
NJ,Monroe Township,monroe-township,1349,no_simplemaps_match
NJ,Mt. Laurel,mt-laurel,167,no_simplemaps_match
NJ,North Jersey,north-jersey,184,no_simplemaps_match
NJ,Pine Brook,pine-brook,2392,cdp_excluded
NJ,Somerset,somerset,241,cdp_excluded
NJ,Succasunna,succasunna,1476,cdp_excluded
NJ,Thorofare,thorofare,2589,cdp_excluded
NJ,Wall Township,wall-township,2558,no_simplemaps_match
NJ,West Essex,west-essex,2386,no_simplemaps_match
NJ,Woodcliff Lakes,woodcliff-lakes,2308,no_simplemaps_match
NV,Paradise,paradise,2262,cdp_excluded
NV,Spring Valley,spring-valley,2265,cdp_excluded
NY,Astoria,astoria,1265,no_simplemaps_match
NY,Bay Shore,bay-shore,1244,cdp_excluded
NY,Bayside,bayside,1266,no_simplemaps_match
NY,Central Islip,central-islip,2469,cdp_excluded
NY,Commack,commack,2470,cdp_excluded
NY,Deer Park,deer-park,1245,cdp_excluded
NY,Dix Hills,dix-hills,2471,cdp_excluded
NY,East Meadow,east-meadow,1231,cdp_excluded
NY,East Patchogue,east-patchogue,2560,cdp_excluded
NY,Elmont,elmont,2467,cdp_excluded
NY,Flushing,flushing,1268,no_simplemaps_match
NY,Forest Hills,forest-hills,1269,no_simplemaps_match
NY,Jamaica,jamaica,1270,no_simplemaps_match
NY,Jericho,jericho,1259,cdp_excluded
NY,Levittown,levittown,1234,cdp_excluded
NY,Long Island,long-island,296,no_simplemaps_match
NY,Massapequa,massapequa,1241,cdp_excluded
NY,Medford,medford,1253,cdp_excluded
NY,Merrick,merrick,1236,cdp_excluded
NY,New York City,new-york-city,2557,no_simplemaps_match
NY,Plainview,plainview,1261,cdp_excluded
NY,Port Jefferson Station,port-jefferson-station,1251,cdp_excluded
NY,Ronkonkoma,ronkonkoma,2474,cdp_excluded
NY,Spring Garden,spring-garden,2476,no_simplemaps_match
NY,Stony Brook,stony-brook,1252,cdp_excluded
NY,Suffolk,suffolk,254,no_simplemaps_match
NY,Upstate New York,upstate-new-york,2158,no_simplemaps_match
NY,Wantagh,wantagh,1242,cdp_excluded
NY,West Babylon,west-babylon,1243,cdp_excluded
NY,West Hempstead,west-hempstead,1229,cdp_excluded
NY,Yorktown Heights,yorktown-heights,2605,cdp_excluded
OH,Austintown,austintown,1967,cdp_excluded
OH,Broadview Height,broadview-height,1714,no_simplemaps_match
OH,Edgewood,edgewood,1798,cdp_excluded
OH,Erlanger,erlanger,1797,no_simplemaps_match
OH,Liberty Township,liberty-township,1786,no_simplemaps_match
OH,Polaris,polaris,549,no_simplemaps_match
OH,Stowe,stowe,2573,no_simplemaps_match
OH,Washington Township,washington-township,1779,no_simplemaps_match
OR,Sylvan,sylvan,1074,no_simplemaps_match
PA,Ardmore,ardmore,923,cdp_excluded
PA,Main Line,main-line,1106,no_simplemaps_match
PA,Mt Pleasant,mt-pleasant,2511,no_simplemaps_match
PA,Paoli,paoli,2126,cdp_excluded
PA,Plymouth Meeting,plymouth-meeting,1559,cdp_excluded
PA,Willow Grove,willow-grove,2057,cdp_excluded
PR,Puerto Rico,puerto-rico,480,no_simplemaps_match
SC,Augusta,augusta,2177,no_simplemaps_match
SC,Mt Pleasant,mt-pleasant,2003,no_simplemaps_match
TN,Joelton,joelton,2649,no_simplemaps_match
TN,Madison,madison,2591,no_simplemaps_match
TX,Houston Energy Corridor,houston-energy-corridor,2180,no_simplemaps_match
TX,Las Colinas,las-colinas,652,no_simplemaps_match
VA,Annandale,annandale,9,cdp_excluded
VA,Burke,burke,1452,cdp_excluded
VA,Centreville,centreville,1457,cdp_excluded
VA,Chester,chester,1841,cdp_excluded
VA,Crystal City,crystal-city,964,no_simplemaps_match
VA,Dulles Corner,dulles-corner,406,no_simplemaps_match
VA,Gainesville,gainesville,600,cdp_excluded
VA,Huntington,huntington,1451,cdp_excluded
VA,Lorton,lorton,2129,cdp_excluded
VA,Mechanicsville,mechanicsville,1843,cdp_excluded
VA,Merrifield,merrifield,1450,cdp_excluded
VA,Mt Vernon,mt-vernon,2387,no_simplemaps_match
VA,Oakton,oakton,1849,cdp_excluded
VA,Springfield,springfield,766,cdp_excluded
VA,Tuckahoe,tuckahoe,2271,cdp_excluded
VA,Tysons Corner,tysons-corner,268,no_simplemaps_match
VA,West Loudoun,west-loudoun,2127,no_simplemaps_match
WA,Ballard,ballard,1314,no_simplemaps_match
WA,West Seattle,west-seattle,1315,no_simplemaps_match
WI,Fox Cities,fox-cities,2215,no_simplemaps_match
WI,Grand Chute,grand-chute,1978,no_simplemaps_match
WI,Ixonia,ixonia,1531,cdp_excluded
WI,Mayfair,mayfair,606,no_simplemaps_match
WI,Sun Prarie,sun-prarie,2321,no_simplemaps_match
