state_abbr,market_name,slug,code
CA,Alamo,alamo,1608
CA,Alhambra,alhambra,1578
CA,Aliso Viejo,aliso-viejo,1579
CA,Altadena,altadena,1580
CA,Aptos,aptos,1612
CA,Atwater,atwater,1625
CA,Bloomington,bloomington,2634
CA,Cameron,cameron,2514
CA,Capitola,capitola,1613
CA,Carson,carson,2276
CA,Ceres,ceres,1615
CA,Clovis,clovis,1534
CA,Compton,compton,2139
CA,Corte Madera,corte-madera,1358
CA,Cotati,cotati,1359
CA,Covina,covina,2225
CA,Cupertino,cupertino,58
CA,Dana Point,dana-point,1886
CA,Danville,danville,1628
CA,Del Mar,del-mar,1869
CA,Delano,delano,1535
CA,Downey,downey,2140
CA,Duarte,duarte,2584
CA,Encinitas,encinitas,1870
CA,Escalon,escalon,1629
CA,Foster City,foster-city,779
CA,Fountain Valley,fountain-valley,1887
CA,Gilroy,gilroy,440
CA,Granite Bay,granite-bay,2223
CA,Hacienda Heights,hacienda-heights,1554
CA,Hercules,hercules,1362
CA,Irwindale,irwindale,2242
CA,La Mesa,la-mesa,1866
CA,La Verne,la-verne,2623
CA,Ladera Ranch,ladera-ranch,2585
CA,Lafayette,lafayette,2240
CA,Laguna Beach,laguna-beach,1889
CA,Laguna Niguel,laguna-niguel,1890
CA,Laguna Woods,laguna-woods,1891
CA,Larkspur,larkspur,1363
CA,Lemon Grove,lemon-grove,1871
CA,Los Alamitos,los-alamitos,752
CA,Los Altos,los-altos,438
CA,Los Gatos,los-gatos,2113
CA,Malibu,malibu,2326
CA,Manhattan Beach,manhattan-beach,2001
CA,Manteca,manteca,1562
CA,Marina Del Rey,marina-del-rey,608
CA,Mill Valley,mill-valley,1364
CA,Millbrae,millbrae,1365
CA,Modesto,modesto,1563
CA,Montclair,montclair,2633
CA,Montebello,montebello,2145
CA,Monterey Park,monterey-park,2144
CA,National City,national-city,1872
CA,Northridge,northridge,1956
CA,Orinda,orinda,2448
CA,Otay Mesa,otay-mesa,2595
CA,Pacoima,pacoima,2622
CA,Panorama City,panorama-city,1954
CA,Pico Rivera,pico-rivera,2142
CA,Placerville,placerville,2515
CA,Playa Vista,playa-vista,2294
CA,Poway,poway,1874
CA,Redondo Beach,redondo-beach,2277
CA,Reseda,reseda,1953
CA,San Bernadino,san-bernadino,2237
CA,San Fernando Valley,san-fernando-valley,225
CA,San Juan Capistrano,san-juan-capistrano,1896
CA,Santa Cruz,santa-cruz,232
CA,Santa Maria,santa-maria,1537
CA,Santee,santee,1876
CA,Saratoga,saratoga,441
CA,Scotts Valley,scotts-valley,2135
CA,Seal Beach,seal-beach,753
CA,Sonoma,sonoma,2497
CA,Stanton,stanton,1898
CA,Studio City,studio-city,763
CA,Tahoe Basin,tahoe-basin,336
CA,Tarzana,tarzana,972
CA,Vernon,vernon,2621
CA,West Hollywood,west-hollywood,2295
CA,Westminster,westminster,1899
CA,Wildomar,wildomar,2639
CA,Winnetka,winnetka,1947
