state_abbr,market_name,slug,code
AL,Athens,athens,2453
AL,Homewood,homewood,2219
AL,Hoover,hoover,1646
AL,Madison,madison,2216
AL,Vestavia Hills,vestavia-hills,2220
AZ,Carefree,carefree,2188
AZ,Catalina Foothills,catalina-foothills,2236
AZ,Green Valley,green-valley,1936
AZ,Oro Valley,oro-valley,1937
AZ,Paradise Valley,paradise-valley,1918
CA,Alamo,alamo,1608
CA,Alhambra,alhambra,1578
CA,Aliso Viejo,aliso-viejo,1579
CA,Altadena,altadena,1580
CA,Aptos,aptos,1612
CA,Atwater,atwater,1625
CA,Bloomington,bloomington,2634
CA,Cameron,cameron,2514
CA,Capitola,capitola,1613
CA,Carson,carson,2276
CA,Ceres,ceres,1615
CA,Clovis,clovis,1534
CA,Compton,compton,2139
CA,Corte Madera,corte-madera,1358
CA,Cotati,cotati,1359
CA,Covina,covina,2225
CA,Cupertino,cupertino,58
CA,Dana Point,dana-point,1886
CA,Danville,danville,1628
CA,Del Mar,del-mar,1869
CA,Delano,delano,1535
CA,Downey,downey,2140
CA,Duarte,duarte,2584
CA,Encinitas,encinitas,1870
CA,Escalon,escalon,1629
CA,Foster City,foster-city,779
CA,Fountain Valley,fountain-valley,1887
CA,Gilroy,gilroy,440
CA,Granite Bay,granite-bay,2223
CA,Hacienda Heights,hacienda-heights,1554
CA,Hercules,hercules,1362
CA,Irwindale,irwindale,2242
CA,La Mesa,la-mesa,1866
CA,La Verne,la-verne,2623
CA,Ladera Ranch,ladera-ranch,2585
CA,Lafayette,lafayette,2240
CA,Laguna Beach,laguna-beach,1889
CA,Laguna Niguel,laguna-niguel,1890
CA,Laguna Woods,laguna-woods,1891
CA,Larkspur,larkspur,1363
CA,Lemon Grove,lemon-grove,1871
CA,Los Alamitos,los-alamitos,752
CA,Los Altos,los-altos,438
CA,Los Gatos,los-gatos,2113
CA,Malibu,malibu,2326
CA,Manhattan Beach,manhattan-beach,2001
CA,Manteca,manteca,1562
CA,Marina Del Rey,marina-del-rey,608
CA,Mill Valley,mill-valley,1364
CA,Millbrae,millbrae,1365
CA,Modesto,modesto,1563
CA,Montclair,montclair,2633
CA,Montebello,montebello,2145
CA,Monterey Park,monterey-park,2144
CA,National City,national-city,1872
CA,Northridge,northridge,1956
CA,Orinda,orinda,2448
CA,Otay Mesa,otay-mesa,2595
CA,Pacoima,pacoima,2622
CA,Panorama City,panorama-city,1954
CA,Pico Rivera,pico-rivera,2142
CA,Placerville,placerville,2515
CA,Playa Vista,playa-vista,2294
CA,Poway,poway,1874
CA,Redondo Beach,redondo-beach,2277
CA,Reseda,reseda,1953
CA,San Bernadino,san-bernadino,2237
CA,San Fernando Valley,san-fernando-valley,225
CA,San Juan Capistrano,san-juan-capistrano,1896
CA,Santa Cruz,santa-cruz,232
CA,Santa Maria,santa-maria,1537
CA,Santee,santee,1876
CA,Saratoga,saratoga,441
CA,Scotts Valley,scotts-valley,2135
CA,Seal Beach,seal-beach,753
CA,Sonoma,sonoma,2497
CA,Stanton,stanton,1898
CA,Studio City,studio-city,763
CA,Tahoe Basin,tahoe-basin,336
CA,Tarzana,tarzana,972
CA,Vernon,vernon,2621
CA,West Hollywood,west-hollywood,2295
CA,Westminster,westminster,1899
CA,Wildomar,wildomar,2639
CA,Winnetka,winnetka,1947
CO,Church Ranch,church-ranch,1033
CO,Denver Golden Triangle,denver-golden-triangle,1055
CO,Firestone,firestone,1013
CO,Frederick,frederick,1012
CO,Glendale,glendale,1000
CO,Golden,golden,1040
CO,Highlands Ranch,highlands-ranch,1002
CO,Interlocken,interlocken,1034
CO,Lafayette,lafayette,1017
CO,Lone Tree,lone-tree,1004
CO,Louisville,louisville,1016
CO,Northglen,northglen,1031
CO,Thornton,thornton,1030
CT,Ansonia,ansonia,1378
CT,Avon,avon,2581
CT,Bethel,bethel,1379
CT,Bloomfield,bloomfield,2574
CT,Branford,branford,1382
CT,Bristol,bristol,2583
CT,Cheshire,cheshire,2054
CT,Cromwell,cromwell,2183
CT,East Berlin,east-berlin,2329
CT,Fairfield,fairfield,2384
CT,Glastonbury,glastonbury,2580
CT,Groton,groton,2383
CT,Hamden,hamden,2493
CT,Longmeadow,longmeadow,2575
CT,Milford,milford,2494
CT,New Britain,new-britain,2577
CT,New Canaan,new-canaan,2492
CT,New London,new-london,173
CT,Newington,newington,2055
CT,Old Saybrook,old-saybrook,2579
CT,Sandy Hook,sandy-hook,2495
CT,Somers,somers,2578
CT,Springfield,springfield,2582
CT,Waterbury,waterbury,625
DC,Capitol Riverfront,capitol-riverfront,1443
DC,Georgetown,georgetown,1442
DC,Northeast,northeast,1445
DC,Northwest,northwest,1446
DC,Southeast,southeast,1449
DC,West End,west-end,1444
DE,Greenville,greenville,1458
DE,Montchanin,montchanin,1461
DE,Newport,newport,1460
FL,Aventura,aventura,18
FL,Bluffton,bluffton,2450
FL,Boynton Beach,boynton-beach,2534
FL,Casselberry,casselberry,1662
FL,Celebration,celebration,776
FL,Coconut Creek,coconut-creek,2491
FL,Cooper City,cooper-city,1596
FL,Cypress Creek,cypress-creek,1976
FL,Dania Beach,dania-beach,1605
FL,Davie,davie,1597
FL,Daytona,daytona,959
FL,Doral,doral,1151
FL,East Lake Orient Park,east-lake-orient-park,2263
FL,Ft. Lauderdale,ft-lauderdale,2451
FL,Hallandale,hallandale,1606
FL,Kendall,kendall,576
FL,Lauderdale Lakes,lauderdale-lakes,1601
FL,Lauderhill,lauderhill,1602
FL,Lighthouse Point,lighthouse-point,1600
FL,Longwood,longwood,1670
FL,Mango,mango,2627
FL,Margate,margate,1599
FL,Miami Gardens,miami-gardens,1607
FL,Neptune,neptune,2619
FL,Oakland Park,oakland-park,1604
FL,Ocoee,ocoee,1669
FL,Oviedo,oviedo,1665
FL,Palm Beach,palm-beach,2159
FL,Pembroke Pines,pembroke-pines,201
FL,Pinellas Park,pinellas-park,1570
FL,Ponte Vedra,ponte-vedra,2620
FL,Safety Harbor,safety-harbor,2551
FL,Saint Pete Beach,saint-pete-beach,1572
FL,Sandestin,sandestin,2333
FL,Seminole,seminole,1573
FL,St Lucie,st-lucie,2681
FL,St Petersburg,st-petersburg,250
FL,St Petersburg CBD,st-petersburg-cbd,2690
FL,Sunny Isles Beach,sunny-isles-beach,2414
FL,Tamarac,tamarac,1603
FL,Temple Terrace,temple-terrace,1576
FL,Town n Country,town-n-country,2266
FL,Trinity,trinity,1575
FL,Valrico,valrico,2628
FL,Winter Springs,winter-springs,1663
GA,Adairsville,adairsville,1352
GA,College Park,college-park,2316
GA,Doraville,doraville,2196
GA,Dunwoody,dunwoody,500
GA,Johns Creek,johns-creek,2335
GA,Northlake,northlake,1992
GA,Peachtree City,peachtree-city,2556
GA,Sandy Springs,sandy-springs,2264
GA,Sugar Hill,sugar-hill,2195
GA,Tyrone,tyrone,2555
HI,East Oahu,east-oahu,1281
HI,Leeward Oahu,leeward-oahu,1286
HI,Maui,maui,147
HI,Windward Oahu,windward-oahu,1287
IA,Bettendorf,bettendorf,518
IA,Council Bluffs,council-bluffs,1384
ID,Coeur D'Alene,coeur-d-alene,2676
ID,Treasire Valley,treasire-valley,2661
IL,Addison,addison,1140
IL,Bannockburn,bannockburn,1197
IL,Bedford Park,bedford-park,2600
IL,Bloomingdale,bloomingdale,1164
IL,Burr Ridge,burr-ridge,614
IL,Cicero,cicero,2523
IL,Crystal Lake,crystal-lake,1165
IL,Darien,darien,1173
IL,East Moline,east-moline,2198
IL,Elk Grove,elk-grove,1194
IL,Evergreen Park,evergreen-park,2385
IL,Glen Ellyn,glen-ellyn,1176
IL,Gurnee,gurnee,1202
IL,Hillside,hillside,2500
IL,Hinsdale,hinsdale,1177
IL,Lincolnshire,lincolnshire,1206
IL,Lincolnwood,lincolnwood,1207
IL,Lombard,lombard,1179
IL,Moline,moline,924
IL,Morton Grove,morton-grove,1208
IL,Mount Prospect,mount-prospect,1168
IL,Mundenlein,mundenlein,1209
IL,Northfield,northfield,1211
IL,Oak Lawn,oak-lawn,1188
IL,Oakbrook Terrace,oakbrook-terrace,2274
IL,Palos Heights,palos-heights,1190
IL,Rock Island,rock-island,2197
IL,South Holland,south-holland,2565
IL,St. Charles,st-charles,1180
IL,Vernon Hills,vernon-hills,1213
IL,Westmont,westmont,1182
IN,Avon,avon,1749
IN,Buchanan,buchanan,2398
IN,Columbia City,columbia-city,1702
IN,Elkhart,elkhart,70
IN,Huntington,huntington,1699
IN,Lawrence,lawrence,2202
IN,Louisville,louisville,1588
IN,Mishawaka,mishawaka,160
IN,Plymouth,plymouth,2399
IN,Saint Joseph,saint-joseph,2396
KS,Edwardsville,edwardsville,2608
KS,Kansas City,kansas-city,1589
KS,Lenexa,lenexa,1806
KS,Merriam,merriam,1808
KS,Mission,mission,1809
KS,Roeland Park,roeland-park,2299
KY,Erlanger,erlanger,433
