code,raw_market,state_abbr,market_name,classification,confidence,reason,parent_city,child_submarket,slug,matched,rofo_city,rofo_slug,rofo_lat,rofo_lng,rofo_path
2453,AL - Athens,AL,Athens,city,medium,default_city,,,athens,false,,,,,
2219,AL - Homewood,AL,Homewood,city,medium,default_city,,,homewood,false,,,,,
1646,AL - Hoover,AL,Hoover,city,medium,default_city,,,hoover,false,,,,,
2216,AL - Madison,AL,Madison,city,medium,default_city,,,madison,false,,,,,
781,AL - Northern,AL,Northern,city,medium,default_city,,,northern,false,,,,,
2220,AL - Vestavia Hills,AL,Vestavia Hills,city,medium,default_city,,,vestavia-hills,false,,,,,
2188,AZ - Carefree,AZ,Carefree,city,medium,default_city,,,carefree,false,,,,,
2236,AZ - Catalina Foothills,AZ,Catalina Foothills,city,medium,default_city,,,catalina-foothills,false,,,,,
1936,AZ - Green Valley,AZ,Green Valley,city,medium,default_city,,,green-valley,false,,,,,
1937,AZ - Oro Valley,AZ,Oro Valley,city,medium,default_city,,,oro-valley,false,,,,,
1918,AZ - Paradise Valley,AZ,Paradise Valley,city,medium,default_city,,,paradise-valley,false,,,,,
1608,CA - Alamo,CA,Alamo,city,medium,default_city,,,alamo,false,,,,,
1578,CA - Alhambra,CA,Alhambra,city,medium,default_city,,,alhambra,false,,,,,
1579,CA - Aliso Viejo,CA,Aliso Viejo,city,medium,default_city,,,aliso-viejo,false,,,,,
1580,CA - Altadena,CA,Altadena,city,medium,default_city,,,altadena,false,,,,,
2663,CA - Anaheim Hills,CA,Anaheim Hills,city,medium,default_city,,,anaheim-hills,false,,,,,
1612,CA - Aptos,CA,Aptos,city,medium,default_city,,,aptos,false,,,,,
2221,CA - Arden Arcade,CA,Arden Arcade,city,medium,default_city,,,arden-arcade,false,,,,,
1625,CA - Atwater,CA,Atwater,city,medium,default_city,,,atwater,false,,,,,
2634,CA - Bloomington,CA,Bloomington,city,medium,default_city,,,bloomington,false,,,,,
2514,CA - Cameron,CA,Cameron,city,medium,default_city,,,cameron,false,,,,,
