"first_name","last_name","email","phone","property_id","property_name","property_address","property_city","property_state","property_postal","property_size","property_year_built","property_description","space_type","space_suite","space_size","space_description","lease_category","lease_type","lease_rate","is_exec_suite","is_divisible","is_sublease","sublease_date","floor_plan_urls","property_video_url","property_image_urls","space_video_url","space_image_urls"
"Mill","Valley","millvalley@rofo.com","","","","1 Belvedere Pl","Mill Valley","CA","94941",,,"Flexible office suites with nearby amenities","OFFICE","",500,"Flexible office suites with nearby amenities","","LEASE","TBD","FALSE","","","","","","","",""
"Mill","Valley","millvalley@rofo.com","","","Shoreline Office Center - B","100 Shoreline Hwy","Mill Valley","CA","94941",,1987,"Scenic office complex near Richardson Bay","OFFICE","",500,"Scenic office complex near Richardson Bay","","LEASE","TBD","FALSE","","","","","","","",""
"Mill","Valley","millvalley@rofo.com","","","","1048 Redwood Hwy Frontage","Mill Valley","CA","94941",,1946,"Modern office space with high visibility and easy freeway access","OFFICE","",500,"Modern office space with high visibility and easy freeway access","","LEASE","TBD","FALSE","","","","","","","",""
"Mill","Valley","millvalley@rofo.com","","","","138-144 Throckmorton Ave","Mill Valley","CA","94941",,,"Historic building in the heart of Mill Valley's shopping district","RETAIL","",500,"Historic building in the heart of Mill Valley's shopping district","","LEASE","TBD","FALSE","","","","","","","",""
"Mill","Valley","millvalley@rofo.com","","","","230-232 E Blithedale Ave","Mill Valley","CA","94941",,,"Retail frontage in high traffic corridor","RETAIL","",500,"Retail frontage in high traffic corridor","","LEASE","TBD","FALSE","","","","","","","",""
"Mill","Valley","millvalley@rofo.com","","","","250 Camino Alto","Mill Valley","CA","94941",,1971,"Versatile space suitable for medical or professional offices","OFFICE","",500,"Versatile space suitable for medical or professional offices","","LEASE","TBD","FALSE","","","","","","","",""
"Mill","Valley","millvalley@rofo.com","","","","32 Miller Ave","Mill Valley","CA","94941",,,"Prime downtown location, ideal for boutique retail","RETAIL","",500,"Prime downtown location, ideal for boutique retail","","LEASE","TBD","FALSE","","","","","","","",""
"Mill","Valley","millvalley@rofo.com","","","","447 Miller Ave","Mill Valley","CA","94941",,1978,"Convenient office space with parking","OFFICE","",500,"Convenient office space with parking","","LEASE","TBD","FALSE","","","","","","","",""
"Mill","Valley","millvalley@rofo.com","","","","45 Camino Alto, Suite 106","Mill Valley","CA","94941",,,"Retail space ideal for small businesses seeking visibility","RETAIL","",500,"Retail space ideal for small businesses seeking visibility","","LEASE","TBD","FALSE","","","","","","","",""
"Mill","Valley","millvalley@rofo.com","","","","495 Miller Ave","Mill Valley","CA","94941",,,"Office space for lease","OFFICE","",500,"Professional office building with updated interiors","","LEASE","TBD","FALSE","","","","","","","",""
"Mill","Valley","millvalley@rofo.com","","","","55 Sunnyside Ave","Mill Valley","CA","94941",,1940,"Charming historic office space","OFFICE","",500,"Charming historic office space","","LEASE","TBD","FALSE","","","","","","","",""
"Mill","Valley","millvalley@rofo.com","","","","575 Redwood Hwy","Mill Valley","CA","94941",,,"Contemporary office suites with ample parking","OFFICE","",500,"Contemporary office suites with ample parking","","LEASE","TBD","FALSE","","","","","","","",""
"Mill","Valley","millvalley@rofo.com","","","Shelterpoint Business Center","591 Redwood Hwy","Mill Valley","CA","94941",,1983,"Modern office space with great natural light","OFFICE","",500,"Modern office space with great natural light","","LEASE","TBD","FALSE","","","","","","","",""
"Mill","Valley","millvalley@rofo.com","","","","61 Camino Alto, Suite 102","Mill Valley","CA","94941",,,"Professional suite suitable for medical or office use","OFFICE","",500,"Professional suite suitable for medical or office use","","LEASE","TBD","FALSE","","","","","","","",""
"Mill","Valley","millvalley@rofo.com","","","","619 E Blithedale Ave","Mill Valley","CA","94941",,,"Quiet and private office setting close to downtown","OFFICE","",500,"Quiet and private office setting close to downtown","","LEASE","TBD","FALSE","","","","","","","",""
"Mill","Valley","millvalley@rofo.com","","","","639 E Blithedale Ave","Mill Valley","CA","94941",,,"Mixed-use property with flexible office and retail suites","RETAIL","",500,"Mixed-use property with flexible office and retail suites","","LEASE","TBD","FALSE","","","","","","","",""
"Mill","Valley","millvalley@rofo.com","","","Shelter Bay Office Complex","655 Redwood Hwy","Mill Valley","CA","94941",,1977,"Multiple office suites in a clean and modern space","OFFICE","",500,"Multiple office suites in a clean and modern space","","LEASE","TBD","FALSE","","","","","","","",""
"Mill","Valley","millvalley@rofo.com","","","","701 E Blithedale Ave","Mill Valley","CA","94941",,1974,"Spacious retail property with significant floor area","RETAIL","",500,"Spacious retail property with significant floor area","","LEASE","TBD","FALSE","","","","","","","",""
"Mill","Valley","millvalley@rofo.com","","","","800-805 Redwood Hwy Frontage Rd","Mill Valley","CA","94941",,,"Retail units with excellent frontage and access","RETAIL","",500,"Retail units with excellent frontage and access","","LEASE","TBD","FALSE","","","","","","","",""
"Mill","Valley","millvalley@rofo.com","","","","9 Montford Ave","Mill Valley","CA","94941",,,"Functional industrial space suitable for various operations","INDUSTRIAL","",500,"Functional industrial space suitable for various operations","","LEASE","TBD","FALSE","","","","","","","",""
